Size (bytes),Size (readable),Time (ms),mb/s
0,NaN undefined,21.70,0
0,NaN undefined,5.60,0
0,NaN undefined,5.20,0
0,NaN undefined,7.80,0
0,NaN undefined,5.20,0
50000,48.83 KB,11.10,4.504504506923328
50000,48.83 KB,5.80,8.620689659602009
50000,48.83 KB,8.20,6.097560973393641
50000,48.83 KB,5.70,8.77192981997502
50000,48.83 KB,8.70,5.7471264348129
100000,97.66 KB,259.10,0.3859513701362426
100000,97.66 KB,14.70,6.802721087056212
100000,97.66 KB,260.30,0.38417210910927746
100000,97.66 KB,13.30,7.518796994165997
100000,97.66 KB,9.20,10.869565213870237
150000,146.48 KB,261.00,0.5747126436781609
150000,146.48 KB,13.30,11.278195491248995
150000,146.48 KB,9.50,15.789473684210526
150000,146.48 KB,11.50,13.043478260869565
150000,146.48 KB,10.40,14.423076914810746
200000,195.31 KB,13.20,15.151515165198495
200000,195.31 KB,37.10,5.390835578215692
200000,195.31 KB,12.20,16.393442618946207
200000,195.31 KB,10.40,19.23076921974766
200000,195.31 KB,259.50,0.7707129094412332
250000,244.14 KB,15.80,15.822784813111113
250000,244.14 KB,13.30,18.796992485414993
250000,244.14 KB,17.20,14.534883718411784
250000,244.14 KB,15.40,16.233766243190985
250000,244.14 KB,14.80,16.891891895293362
300000,292.97 KB,15.70,19.108280251149864
300000,292.97 KB,267.00,1.1235955056179776
300000,292.97 KB,15.30,19.607843121977535
300000,292.97 KB,14.40,20.83333334626837
300000,292.97 KB,16.10,18.633540362323178
350000,341.8 KB,17.20,20.348837205776498
350000,341.8 KB,19.30,18.134715028707028
350000,341.8 KB,15.40,22.72727274046738
350000,341.8 KB,25.00,14
350000,341.8 KB,260.60,1.3430544896700123
400000,390.63 KB,19.40,20.618556694696075
400000,390.63 KB,18.40,21.739130445345815
400000,390.63 KB,20.50,19.51219512195122
400000,390.63 KB,18.10,22.099447502895885
400000,390.63 KB,20.40,19.60784313152589
450000,439.45 KB,15.70,28.6624203767248
450000,439.45 KB,21.50,20.930232558139537
450000,439.45 KB,17.40,25.86206897880603
450000,439.45 KB,265.40,1.695553880896359
450000,439.45 KB,25.50,17.647058823529413
500000,488.28 KB,29.20,17.123287669485226
500000,488.28 KB,23.70,21.097046410849195
500000,488.28 KB,25.00,20
500000,488.28 KB,28.50,17.54385964912281
500000,488.28 KB,263.40,1.8982536067462858
550000,537.11 KB,27.60,19.927536225428767
550000,537.11 KB,261.90,2.1000381825841
550000,537.11 KB,20.30,27.093596063090896
550000,537.11 KB,21.50,25.58139534883721
550000,537.11 KB,262.60,2.0944402132996336
600000,585.94 KB,27.40,21.89781021421456
600000,585.94 KB,22.30,26.905829600008325
600000,585.94 KB,25.10,23.904382475796066
600000,585.94 KB,23.00,26.08695652173913
600000,585.94 KB,39.90,15.037593982716015
650000,634.77 KB,30.00,21.666666666666668
650000,634.77 KB,27.20,23.897058820911074
650000,634.77 KB,267.00,2.4344569288389515
650000,634.77 KB,41.60,15.625000002238757
650000,634.77 KB,267.60,2.428998505285792
700000,683.59 KB,34.60,20.231213876317558
700000,683.59 KB,31.10,22.508038589522776
700000,683.59 KB,31.10,22.508038578738343
700000,683.59 KB,26.50,26.41509433962264
700000,683.59 KB,28.00,25
750000,732.42 KB,27.50,27.272727272727273
750000,732.42 KB,25.00,30
750000,732.42 KB,27.70,27.075812271455156
750000,732.42 KB,31.60,23.73417721966667
750000,732.42 KB,26.50,28.30188679245283
800000,781.25 KB,29.50,27.11864406779661
800000,781.25 KB,32.60,24.539877293883325
800000,781.25 KB,29.50,27.11864406779661
800000,781.25 KB,34.80,22.988505749095147
800000,781.25 KB,37.30,21.447721181338316
850000,830.08 KB,26.40,32.196969689700424
850000,830.08 KB,25.20,33.73015872616969
850000,830.08 KB,28.40,29.929577458507246
850000,830.08 KB,106.00,8.018867924528301
850000,830.08 KB,25.00,34
900000,878.91 KB,29.00,31.03448275862069
900000,878.91 KB,26.00,34.61538461538461
900000,878.91 KB,29.90,30.100334457161136
900000,878.91 KB,26.60,33.834586454793055
900000,878.91 KB,26.60,33.83458647374699
950000,927.73 KB,28.30,33.56890459717467
950000,927.73 KB,261.60,3.6314984710307545
950000,927.73 KB,30.40,31.249999993872876
950000,927.73 KB,27.80,34.17266185585
950000,927.73 KB,38.00,25
1000000,976.56 KB,28.70,34.843205589385484
1000000,976.56 KB,27.60,36.23188404623412
1000000,976.56 KB,29.40,34.013605452520586
1000000,976.56 KB,29.20,34.24657533897045
1000000,976.56 KB,40.60,24.63054187553718
1050000,1 MB,33.10,31.722054386376985
1050000,1 MB,33.20,31.6265060212574
1050000,1 MB,34.60,30.346820814476335
1050000,1 MB,32.20,32.608695649155855
1050000,1 MB,30.90,33.98058251771715
1100000,1.05 MB,34.40,31.97674418050592
1100000,1.05 MB,48.60,22.633744858742954
1100000,1.05 MB,39.20,28.061224487662525
1100000,1.05 MB,39.00,28.205128205128204
1100000,1.05 MB,39.00,28.205128205128204
1150000,1.1 MB,39.00,29.487179487179485
1150000,1.1 MB,43.70,26.315789480862897
1150000,1.1 MB,45.20,25.44247787442866
1150000,1.1 MB,43.10,26.682134574455635
1150000,1.1 MB,266.60,4.31357839469509
1200000,1.14 MB,47.90,25.052192063688462
1200000,1.14 MB,38.20,31.413612562994246
1200000,1.14 MB,33.80,35.50295856736011
1200000,1.14 MB,44.40,27.02702703246938
1200000,1.14 MB,39.50,30.379746835443036
1250000,1.19 MB,32.90,37.993920982969364
1250000,1.19 MB,36.20,34.53038675170261
1250000,1.19 MB,37.90,32.98153033782097
1250000,1.19 MB,31.50,39.682539682539684
1250000,1.19 MB,32.50,38.46153846153846
1300000,1.24 MB,33.80,38.46153846492972
1300000,1.24 MB,39.30,33.07888040963315
1300000,1.24 MB,34.30,37.900874638861616
1300000,1.24 MB,51.90,25.04816956115507
1300000,1.24 MB,39.20,33.163265303601165
1350000,1.29 MB,43.70,30.892448510479024
1350000,1.29 MB,266.50,5.065666041275797
1350000,1.29 MB,54.70,24.680073131521194
1350000,1.29 MB,41.30,32.68765133407789
1350000,1.29 MB,60.20,22.425249168325042
1400000,1.34 MB,45.00,31.11111111111111
1400000,1.34 MB,264.10,5.3010223401423575
1400000,1.34 MB,61.90,22.617124397450933
1400000,1.34 MB,45.80,30.567685591508706
1400000,1.34 MB,52.70,26.565464894133374
1450000,1.38 MB,39.90,36.34085213846899
1450000,1.38 MB,37.50,38.666666666666664
1450000,1.38 MB,40.40,35.89108911685375
1450000,1.38 MB,41.50,34.93975903614458
1450000,1.38 MB,42.40,34.198113202739705
1500000,1.43 MB,38.90,38.56041130514556
1500000,1.43 MB,54.30,27.6243093862006
1500000,1.43 MB,43.80,34.24657534479595
1500000,1.43 MB,280.90,5.33997863997213
1500000,1.43 MB,53.30,28.14258911977245
1550000,1.48 MB,46.50,33.333333333333336
1550000,1.48 MB,39.40,39.34010153176975
1550000,1.48 MB,63.20,24.5253164545397
1550000,1.48 MB,45.30,34.216335543089905
1550000,1.48 MB,37.90,40.897097618898
1600000,1.53 MB,37.40,42.780748656283606
1600000,1.53 MB,47.50,33.68421052631579
1600000,1.53 MB,43.00,37.2093023255814
1600000,1.53 MB,41.30,38.740920099647866
1600000,1.53 MB,41.90,38.18615752604799
1650000,1.57 MB,41.80,39.47368421334069
1650000,1.57 MB,44.30,37.24604966390523
1650000,1.57 MB,61.40,26.872964166772388
1650000,1.57 MB,265.50,6.214689265536723
1650000,1.57 MB,53.30,30.956848031749693
1700000,1.62 MB,49.10,34.623217926809986
1700000,1.62 MB,45.30,37.52759382145344
1700000,1.62 MB,42.70,39.81264638113826
1700000,1.62 MB,265.50,6.4030131826742
1700000,1.62 MB,54.90,30.96539161776743
1750000,1.67 MB,67.30,26.002971769353564
1750000,1.67 MB,49.40,35.425101220986335
1750000,1.67 MB,51.10,34.24657533647381
1750000,1.67 MB,49.90,35.07014027637206
1750000,1.67 MB,275.80,6.345177665043184
1800000,1.72 MB,274.80,6.550218340682392
1800000,1.72 MB,49.50,36.36363636363637
1800000,1.72 MB,80.90,22.249690974874927
1800000,1.72 MB,54.00,33.333333333333336
1800000,1.72 MB,52.30,34.41682600578528
1850000,1.76 MB,44.90,41.202672600321
1850000,1.76 MB,53.40,34.64419476235474
1850000,1.76 MB,275.40,6.717501815759111
1850000,1.76 MB,51.20,36.13281249789679
1850000,1.76 MB,51.20,36.13281249789679
1900000,1.81 MB,48.20,39.41908713449216
1900000,1.81 MB,48.60,39.09465021055601
1900000,1.81 MB,83.00,22.89156626506024
1900000,1.81 MB,64.60,29.411764708596095
1900000,1.81 MB,54.20,35.05535055157799
1950000,1.86 MB,53.30,36.58536585570418
1950000,1.86 MB,54.30,35.91160221191574
1950000,1.86 MB,48.50,40.20618556701031
1950000,1.86 MB,48.50,40.20618556701031
1950000,1.86 MB,78.50,24.840764331210192
2000000,1.91 MB,61.80,32.36245954848621
2000000,1.91 MB,55.50,36.03603603603604
2000000,1.91 MB,51.60,38.75968992695786
2000000,1.91 MB,278.90,7.171029042514369
2000000,1.91 MB,84.90,23.55712602897042
2050000,1.96 MB,66.40,30.8734939800607
2050000,1.96 MB,76.20,26.902887138055423
2050000,1.96 MB,268.90,7.623651915041129
2050000,1.96 MB,57.20,35.83916083729355
2050000,1.96 MB,54.70,37.47714807839688
2100000,2 MB,54.20,38.74538746239633
2100000,2 MB,303.20,6.926121372303977
2100000,2 MB,62.90,33.38632750081084
2100000,2 MB,59.30,35.413153449879296
2100000,2 MB,54.40,38.60294118281502
2150000,2.05 MB,59.80,35.95317725931687
2150000,2.05 MB,56.20,38.25622775597843
2150000,2.05 MB,55.40,38.80866425575239
2150000,2.05 MB,58.30,36.87821612538432
2150000,2.05 MB,54.60,39.37728938158804
2200000,2.1 MB,60.60,36.303630357680206
2200000,2.1 MB,77.70,28.314028312942312
2200000,2.1 MB,65.20,33.742331286801225
2200000,2.1 MB,57.70,38.128249564755095
2200000,2.1 MB,59.00,37.28813559322034
2250000,2.15 MB,60.80,37.00657894918237
2250000,2.15 MB,55.00,40.90909090909091
2250000,2.15 MB,61.60,36.525974029508305
2250000,2.15 MB,291.90,7.70811921914668
2250000,2.15 MB,59.90,37.56260434617422
2300000,2.19 MB,64.00,35.9375
2300000,2.19 MB,87.30,26.3459335633278
2300000,2.19 MB,63.80,36.05015674149589
2300000,2.19 MB,271.10,8.483954260607039
2300000,2.19 MB,65.10,35.33026113994754
2350000,2.24 MB,64.40,36.49068322643631
2350000,2.24 MB,58.20,40.37800687078461
2350000,2.24 MB,76.30,30.799475748792158
2350000,2.24 MB,57.60,40.79861110477833
2350000,2.24 MB,62.50,37.6
2400000,2.29 MB,97.70,24.564994881543406
2400000,2.29 MB,66.10,36.30862330130736
2400000,2.29 MB,77.00,31.16883116883117
2400000,2.29 MB,64.50,37.2093023255814
2400000,2.29 MB,65.90,36.4188163851734
2450000,2.34 MB,60.50,40.49586776859504
2450000,2.34 MB,71.30,34.36185133383459
2450000,2.34 MB,63.50,38.58267716535433
2450000,2.34 MB,63.60,38.522012573201046
2450000,2.34 MB,73.40,33.37874659129492
2500000,2.38 MB,68.10,36.710719525283125
2500000,2.38 MB,61.50,40.65040650406504
2500000,2.38 MB,63.90,39.12363067840051
2500000,2.38 MB,68.50,36.496350364963504
2500000,2.38 MB,61.80,40.45307443560776
2550000,2.43 MB,66.50,38.34586466165413
2550000,2.43 MB,60.20,42.35880398461397
2550000,2.43 MB,1056.60,2.413401476413423
2550000,2.43 MB,377.70,6.751389992003917
2550000,2.43 MB,292.20,8.726899383894565
2600000,2.48 MB,84.40,30.80568720161592
2600000,2.48 MB,69.00,37.68115942028985
2600000,2.48 MB,68.70,37.84570596633495
2600000,2.48 MB,80.00,32.5
2600000,2.48 MB,96.00,27.083333333333332
2650000,2.53 MB,80.80,32.797029704179984
2650000,2.53 MB,82.60,32.08232445173319
2650000,2.53 MB,71.70,36.959553694419135
2650000,2.53 MB,99.40,26.65995976094928
2650000,2.53 MB,76.40,34.68586387840466
2700000,2.57 MB,79.60,33.91959798613989
2700000,2.57 MB,77.70,34.74903474770193
2700000,2.57 MB,83.80,32.21957040687377
2700000,2.57 MB,80.40,33.58208954974919
2700000,2.57 MB,114.20,23.64273205150476
2750000,2.62 MB,82.10,33.49573690864373
2750000,2.62 MB,79.70,34.50439146671479
2750000,2.62 MB,111.00,24.774774774774773
2750000,2.62 MB,85.20,32.276995304035296
2750000,2.62 MB,77.70,35.39253539117789
2800000,2.67 MB,77.50,36.12903225806452
2800000,2.67 MB,75.30,37.18459495499095
2800000,2.67 MB,83.60,33.492822962925246
2800000,2.67 MB,96.10,29.136316334438096
2800000,2.67 MB,111.40,25.134649908888562
2850000,2.72 MB,111.30,25.606468999952803
2850000,2.72 MB,275.80,10.3335750544989
2850000,2.72 MB,75.20,37.898936168710804
2850000,2.72 MB,80.50,35.40372670807454
2850000,2.72 MB,280.40,10.16405135499079
2900000,2.77 MB,78.80,36.80203045824465
2900000,2.77 MB,77.40,37.4677002555126
2900000,2.77 MB,72.30,40.11065007080967
2900000,2.77 MB,75.60,38.35978836281273
2900000,2.77 MB,71.70,40.446304042949244
2950000,2.81 MB,75.10,39.28095872482201
2950000,2.81 MB,115.30,25.585429312185585
2950000,2.81 MB,77.70,37.966537965081734
2950000,2.81 MB,110.50,26.69683257918552
2950000,2.81 MB,73.00,40.41095890410959
3000000,2.86 MB,96.70,31.02378490558255
3000000,2.86 MB,82.80,36.23188405927512
3000000,2.86 MB,76.80,39.06250000151582
3000000,2.86 MB,92.90,32.29278794195393
3000000,2.86 MB,77.50,38.70967741935484
3050000,2.91 MB,70.70,43.14002828672465
3050000,2.91 MB,71.90,42.42002781289509
3050000,2.91 MB,73.40,41.553133511612046
3050000,2.91 MB,88.20,34.580498865044696
3050000,2.91 MB,87.20,34.977064218988076
3100000,2.96 MB,292.50,10.598290598290598
3100000,2.96 MB,89.70,34.559643254147204
3100000,2.96 MB,77.50,40
3100000,2.96 MB,98.10,31.600407749116748
3100000,2.96 MB,85.10,36.42773208245742
3150000,3 MB,81.20,38.793103446852065
3150000,3 MB,119.90,26.27189324632935
3150000,3 MB,89.00,35.39325842696629
3150000,3 MB,290.40,10.847107438350484
3150000,3 MB,302.10,10.427010923226664
3200000,3.05 MB,292.00,10.95890410958904
3200000,3.05 MB,103.00,31.067961165048544
3200000,3.05 MB,82.50,38.78787878787879
3200000,3.05 MB,84.30,37.959667854248266
3200000,3.05 MB,79.30,40.35308953493394
3250000,3.1 MB,80.60,40.322580640688436
3250000,3.1 MB,76.80,42.31770833497548
3250000,3.1 MB,92.70,35.0593311747089
3250000,3.1 MB,83.10,39.109506621337076
3250000,3.1 MB,82.90,39.203860076604464
3300000,3.15 MB,81.00,40.74074074074074
3300000,3.15 MB,85.90,38.41676367603048
3300000,3.15 MB,80.60,40.94292804273001
3300000,3.15 MB,99.50,33.165829145728644
3300000,3.15 MB,78.30,42.14559387133593
3350000,3.19 MB,81.40,41.15479115931146
3350000,3.19 MB,78.90,42.45880862331573
3350000,3.19 MB,83.00,40.36144578313253
3350000,3.19 MB,100.30,33.399800599197796
3350000,3.19 MB,292.60,11.449077238201085
3400000,3.24 MB,309.10,10.99967647978536
3400000,3.24 MB,93.90,36.20873269780331
3400000,3.24 MB,120.10,28.30974187965771
3400000,3.24 MB,91.20,37.280701753167705
3400000,3.24 MB,293.00,11.604095563139932
3450000,3.29 MB,85.40,40.39812646088066
3450000,3.29 MB,116.70,29.562982004386424
3450000,3.29 MB,86.20,40.02320185476475
3450000,3.29 MB,80.90,42.645241035176944
3450000,3.29 MB,81.80,42.176039121341006
3500000,3.34 MB,80.90,43.263288006701245
3500000,3.34 MB,83.50,41.91616766467066
3500000,3.34 MB,84.10,41.617122468821805
3500000,3.34 MB,96.60,36.231884054617616
3500000,3.34 MB,102.70,34.07984420543753
3550000,3.39 MB,98.90,35.89484327387311
3550000,3.39 MB,101.90,34.83807654868966
3550000,3.39 MB,86.10,41.231126599834575
3550000,3.39 MB,83.10,42.7196149171848
3550000,3.39 MB,83.90,42.312276524175225
3600000,3.43 MB,85.10,42.30317274091829
3600000,3.43 MB,175.10,20.55968018345257
3600000,3.43 MB,118.30,30.431107354950903
3600000,3.43 MB,101.80,35.36345776134962
3600000,3.43 MB,299.30,12.02806548625408
3650000,3.48 MB,123.20,29.626623375906703
3650000,3.48 MB,90.40,40.3761061920281
3650000,3.48 MB,90.90,40.1540154054896
3650000,3.48 MB,96.60,37.7846790855298
3650000,3.48 MB,86.90,42.002301493091444
3700000,3.53 MB,117.80,31.40916808228868
