Size (bytes),Size (readable),Time (ms),mb/s
0,NaN undefined,10.00,0
0,NaN undefined,11.60,0
0,NaN undefined,8.10,0
0,NaN undefined,9.50,0
0,NaN undefined,9.60,0
50000,48.83 KB,65.90,0.7587253414006695
50000,48.83 KB,28.20,1.7730496454369158
50000,48.83 KB,31.90,1.5673981191954736
50000,48.83 KB,32.00,1.5625
50000,48.83 KB,27.10,1.845018450083052
100000,97.66 KB,49.80,2.008032128484014
100000,97.66 KB,52.20,1.9157088122878796
100000,97.66 KB,16.90,5.917159763835341
100000,97.66 KB,51.40,1.945525291744191
100000,97.66 KB,52.50,1.9047619047619047
150000,146.48 KB,58.80,2.5510204081309413
150000,146.48 KB,92.60,1.6198704103411037
150000,146.48 KB,1078.90,0.13903049402188078
150000,146.48 KB,329.60,0.4550970873765833
150000,146.48 KB,83.70,1.7921146953564544
200000,195.31 KB,72.20,2.77008310252166
200000,195.31 KB,123.20,1.6233766233864408
200000,195.31 KB,86.00,2.3255813953488373
200000,195.31 KB,57.10,3.5026269703647808
200000,195.31 KB,178.30,1.1217049916059616
250000,244.14 KB,112.50,2.2222222222222223
250000,244.14 KB,103.80,2.408477842073004
250000,244.14 KB,140.90,1.774308019844103
250000,244.14 KB,120.70,2.071251035638303
250000,244.14 KB,148.00,1.6891891891891893
300000,292.97 KB,143.40,2.09205020922676
300000,292.97 KB,169.60,1.7688679245127605
300000,292.97 KB,149.50,2.0066889632107023
300000,292.97 KB,226.60,1.3239187996382489
300000,292.97 KB,120.10,2.4979184013012308
350000,341.8 KB,157.50,2.2222222222222223
350000,341.8 KB,182.20,1.9209659714677894
350000,341.8 KB,161.10,2.1725636251077347
350000,341.8 KB,157.10,2.227880331031061
350000,341.8 KB,1133.40,0.308805364389721
400000,390.63 KB,475.20,0.8417508417521615
400000,390.63 KB,253.50,1.5779092702169626
400000,390.63 KB,225.00,1.7777777777777777
400000,390.63 KB,259.50,1.5414258188824663
400000,390.63 KB,164.50,2.43161094224924
450000,439.45 KB,264.70,1.700037778598162
450000,439.45 KB,296.40,1.5182186234703323
450000,439.45 KB,225.70,1.9937970757708705
450000,439.45 KB,286.70,1.5695849319683373
450000,439.45 KB,255.50,1.761252446183953
500000,488.28 KB,362.50,1.3793103448275863
500000,488.28 KB,252.50,1.9801980198019802
500000,488.28 KB,219.80,2.274795268418131
500000,488.28 KB,1240.80,0.4029658284975014
500000,488.28 KB,759.00,0.6587615283267457
550000,537.11 KB,263.40,2.0880789673618505
550000,537.11 KB,174.50,3.151862464183381
550000,537.11 KB,249.00,2.208835341365462
550000,537.11 KB,258.70,2.126014688834882
550000,537.11 KB,300.10,1.8327224258489472
600000,585.94 KB,293.00,2.04778156996587
600000,585.94 KB,358.50,1.6736401673640167
600000,585.94 KB,293.60,2.0435967302348597
600000,585.94 KB,1264.70,0.47442081125986674
600000,585.94 KB,634.60,0.9454774661181707
650000,634.77 KB,1237.80,0.5251252221680471
650000,634.77 KB,716.40,0.9073143495272921
650000,634.77 KB,290.80,2.23521320494613
650000,634.77 KB,364.10,1.7852238396154636
650000,634.77 KB,432.20,1.503933364185841
700000,683.59 KB,360.30,1.942825423274466
700000,683.59 KB,378.30,1.85038329369684
700000,683.59 KB,379.50,1.844532279314888
700000,683.59 KB,297.60,2.352150537652075
700000,683.59 KB,389.70,1.7962535283585792
750000,732.42 KB,367.70,2.0397062822994823
750000,732.42 KB,374.20,2.0042757883524676
750000,732.42 KB,371.00,2.0215633423180592
750000,732.42 KB,389.80,1.9240636223851568
750000,732.42 KB,493.30,1.520372998173256
800000,781.25 KB,406.70,1.967051880978947
800000,781.25 KB,496.40,1.6116035455205435
800000,781.25 KB,325.30,2.4592683676831517
800000,781.25 KB,292.20,2.7378507871390823
800000,781.25 KB,264.70,3.022289384217045
850000,830.08 KB,372.00,2.28494623655914
850000,830.08 KB,426.10,1.9948368927586455
850000,830.08 KB,335.10,2.5365562518820344
850000,830.08 KB,353.20,2.4065685164009847
850000,830.08 KB,307.90,2.7606365703283977
900000,878.91 KB,402.60,2.2354694485759286
900000,878.91 KB,430.40,2.0910780669036386
900000,878.91 KB,463.00,1.9438444924406046
900000,878.91 KB,441.70,2.0375820692812274
900000,878.91 KB,420.70,2.139291656766327
950000,927.73 KB,519.90,1.8272744758659798
950000,927.73 KB,433.40,2.1919704660708366
950000,927.73 KB,454.10,2.0920502092153184
950000,927.73 KB,468.10,2.0294808801473527
950000,927.73 KB,502.50,1.890547263681592
1000000,976.56 KB,566.90,1.7639795378304062
1000000,976.56 KB,469.10,2.1317416329073193
1000000,976.56 KB,433.60,2.3062730627227017
1000000,976.56 KB,406.20,2.4618414574146583
1000000,976.56 KB,421.90,2.3702299123098647
1050000,1 MB,568.50,1.8469656992084433
1050000,1 MB,1330.80,0.7889990982885117
1050000,1 MB,738.20,1.422378759145299
1050000,1 MB,1498.60,0.700653943680072
1050000,1 MB,968.50,1.0841507485802788
1100000,1.05 MB,514.70,2.137167281914887
1100000,1.05 MB,448.80,2.4509803921731383
1100000,1.05 MB,487.10,2.2582631903030896
1100000,1.05 MB,585.70,1.878094587675259
1100000,1.05 MB,588.30,1.8697943226339835
1150000,1.1 MB,566.90,2.0285764685182976
1150000,1.1 MB,1178.40,0.9758995247775107
1150000,1.1 MB,940.90,1.2222340312486144
1150000,1.1 MB,554.40,2.0743145743062112
1150000,1.1 MB,579.60,1.9841269841218832
1200000,1.14 MB,576.20,2.0826102047926964
1200000,1.14 MB,528.20,2.2718667171557985
1200000,1.14 MB,622.30,1.9283303872707107
1200000,1.14 MB,601.40,1.9953441968789047
1200000,1.14 MB,584.60,2.0526855969972426
1250000,1.19 MB,637.50,1.9607843137254901
1250000,1.19 MB,598.20,2.089602139755194
1250000,1.19 MB,586.00,2.1331058020477816
1250000,1.19 MB,604.60,2.0674826331535248
1250000,1.19 MB,650.50,1.9215987701767872
1300000,1.24 MB,706.10,1.8410989944728176
1300000,1.24 MB,717.00,1.8131101813110182
1300000,1.24 MB,670.20,1.9397194867225382
1300000,1.24 MB,1595.40,0.8148426726828248
1300000,1.24 MB,1065.90,1.2196266066252157
1350000,1.29 MB,785.10,1.7195261750144484
1350000,1.29 MB,599.20,2.2530040053432554
1350000,1.29 MB,655.90,2.0582405854480856
1350000,1.29 MB,736.30,1.8334917832386717
1350000,1.29 MB,1280.80,1.054028732044926
1400000,1.34 MB,1091.70,1.2824035907309292
1400000,1.34 MB,696.00,2.0114942528735633
1400000,1.34 MB,589.10,2.376506535386961
1400000,1.34 MB,797.60,1.7552657973888972
