Size (bytes),Size (readable),Time (ms),mb/s
0,NaN undefined,38.10,0
0,NaN undefined,35.50,0
0,NaN undefined,35.30,0
0,NaN undefined,35.00,0
0,NaN undefined,34.80,0
50000,48.83 KB,68.70,0.7278020379719953
50000,48.83 KB,49.60,1.0080645156444732
50000,48.83 KB,37.00,1.3513513513513513
50000,48.83 KB,36.20,1.3812154689309928
50000,48.83 KB,36.20,1.3812154689309928
100000,97.66 KB,81.90,1.2210012209123597
100000,97.66 KB,40.00,2.5
100000,97.66 KB,50.30,1.9880715701053746
100000,97.66 KB,37.80,2.6455026467541076
100000,97.66 KB,39.40,2.5380710675256934
150000,146.48 KB,38.50,3.896103896103896
150000,146.48 KB,37.70,3.9787798389616413
150000,146.48 KB,37.90,3.9577836405385165
150000,146.48 KB,48.90,3.0674846622027885
150000,146.48 KB,37.10,4.043126685285685
200000,195.31 KB,39.80,5.025125630398398
200000,195.31 KB,39.20,5.1020408178780885
200000,195.31 KB,38.20,5.235602091790056
200000,195.31 KB,38.20,5.235602095874692
200000,195.31 KB,56.30,3.552397867809096
250000,244.14 KB,52.30,4.780114721663797
250000,244.14 KB,40.10,6.234413966013965
250000,244.14 KB,43.50,5.747126436781609
250000,244.14 KB,39.20,6.37755102234761
250000,244.14 KB,40.30,6.203473943574412
300000,292.97 KB,54.20,5.535055351770904
300000,292.97 KB,55.50,5.405405405405405
300000,292.97 KB,52.80,5.681818183742402
300000,292.97 KB,53.90,5.5658627081043575
300000,292.97 KB,52.00,5.769230769230769
350000,341.8 KB,57.10,6.129597198538271
350000,341.8 KB,52.20,6.7049808406150495
350000,341.8 KB,53.20,6.578947366209761
350000,341.8 KB,53.60,6.529850743364109
350000,341.8 KB,67.50,5.185185185185185
400000,390.63 KB,56.10,7.130124777941156
400000,390.63 KB,54.50,7.339449541284404
400000,390.63 KB,54.70,7.312614261191466
400000,390.63 KB,64.20,6.23052959328021
400000,390.63 KB,56.50,7.079646017699115
450000,439.45 KB,56.10,8.0213903751838
450000,439.45 KB,54.90,8.196721310585495
450000,439.45 KB,56.40,7.978723403412112
450000,439.45 KB,75.80,5.936675460807774
450000,439.45 KB,55.80,8.064516127309382
500000,488.28 KB,76.90,6.501950584671591
500000,488.28 KB,81.50,6.134969325153374
500000,488.28 KB,56.50,8.849557522123893
500000,488.28 KB,55.40,9.025270757151718
500000,488.28 KB,54.40,9.191176469581182
550000,537.11 KB,69.30,7.936507938555784
550000,537.11 KB,68.50,8.02919708029197
550000,537.11 KB,67.70,8.124076810883997
550000,537.11 KB,72.40,7.596685082247517
550000,537.11 KB,69.10,7.9594790131726665
600000,585.94 KB,71.20,8.426966293545748
600000,585.94 KB,71.00,8.450704225352112
600000,585.94 KB,71.80,8.356545959615351
600000,585.94 KB,71.20,8.426966290018456
600000,585.94 KB,76.80,7.812500001818989
650000,634.77 KB,90.10,7.214206437769145
650000,634.77 KB,90.00,7.222222222222222
650000,634.77 KB,74.00,8.783783783783784
650000,634.77 KB,71.70,9.06555090806234
650000,634.77 KB,70.90,9.16784203411253
700000,683.59 KB,74.70,9.370816597489114
700000,683.59 KB,74.70,9.370816597489114
700000,683.59 KB,72.60,9.641873275070521
700000,683.59 KB,72.20,9.69529086032655
700000,683.59 KB,72.10,9.708737864880286
750000,732.42 KB,74.10,10.121457486621939
750000,732.42 KB,90.50,8.287292817679559
750000,732.42 KB,92.00,8.152173913043478
750000,732.42 KB,103.30,7.260406581930776
750000,732.42 KB,72.10,10.402219140943163
800000,781.25 KB,93.60,8.547008547552823
800000,781.25 KB,90.80,8.81057268895975
800000,781.25 KB,87.10,9.18484500636907
800000,781.25 KB,87.20,9.174311927859705
800000,781.25 KB,92.60,8.63930885584767
850000,830.08 KB,98.10,8.66462793120943
850000,830.08 KB,115.30,7.37207285456915
850000,830.08 KB,105.10,8.08753567846982
850000,830.08 KB,88.10,9.648127128916087
850000,830.08 KB,88.70,9.582863583186528
900000,878.91 KB,88.00,10.227272727272727
900000,878.91 KB,88.20,10.204081634032224
900000,878.91 KB,102.90,8.746355684624564
900000,878.91 KB,104.00,8.653846153846153
900000,878.91 KB,87.60,10.273972599943486
950000,927.73 KB,90.00,10.555555555555555
950000,927.73 KB,102.80,9.241245135115134
950000,927.73 KB,87.30,10.882016035169258
950000,927.73 KB,105.00,9.047619047619047
950000,927.73 KB,99.50,9.547738693467336
1000000,976.56 KB,108.30,9.233610343168142
1000000,976.56 KB,92.10,10.857763301462729
1000000,976.56 KB,102.60,9.746588694523336
1000000,976.56 KB,109.40,9.140767826489332
1000000,976.56 KB,169.30,5.906674542856583
1050000,1 MB,104.30,10.067114095685657
1050000,1 MB,110.60,9.493670886587584
1050000,1 MB,117.30,8.951406648706657
1050000,1 MB,105.80,9.924385634947654
1050000,1 MB,101.90,10.304219822753504
1100000,1.05 MB,110.70,9.936766032721922
1100000,1.05 MB,102.80,10.700389103817523
1100000,1.05 MB,130.30,8.442056791246069
1100000,1.05 MB,105.40,10.436432636980967
1100000,1.05 MB,109.40,10.054844609138264
1150000,1.1 MB,116.50,9.871244635193133
1150000,1.1 MB,115.90,9.922346852774522
1150000,1.1 MB,104.60,10.994263862959187
1150000,1.1 MB,115.60,9.948096886326084
1150000,1.1 MB,121.50,9.465020576131687
1200000,1.14 MB,103.30,11.616650531089242
1200000,1.14 MB,104.00,11.538461538461538
