Trials,Size Response (bytes),Time,Average Latency (ms),Num Packets Transferred
100,1,627.5,6.275,0.000016276041666666666
100,4,553,5.53,0.00006510416666666667
100,16,546.5,5.465,0.00026041666666666666
100,63,433.5,4.335,0.001025390625
100,251,485.3999999910593,4.853999999910593,0.0040852864583333336
100,1000,536.7999999970198,5.3679999999701975,0.016276041666666668
100,3981,473.3999999910593,4.733999999910593,0.064794921875
100,15849,554.6999999880791,5.546999999880791,0.257958984375
100,63096,582.5,5.825,1.026953125
100,251189,791.7999999970198,7.917999999970197,4.088362630208334
200,1,938.5,4.6925,0.000016276041666666666
200,4,595.2000000029802,2.976000000014901,0.00006510416666666667
200,16,578.8999999910593,2.8944999999552965,0.00026041666666666666
200,63,605,3.025,0.001025390625
200,251,578.7000000029802,2.8935000000149014,0.0040852864583333336
200,1000,581,2.905,0.016276041666666668
200,3981,672.6000000089407,3.3630000000447033,0.064794921875
200,15849,612.9000000059605,3.064500000029802,0.257958984375
200,63096,787.5999999940395,3.937999999970198,1.026953125
200,251189,1596.7999999970198,7.983999999985099,4.088362630208334
300,1,1394.6000000089407,4.648666666696469,0.000016276041666666666
300,4,727.6999999880791,2.42566666662693,0.00006510416666666667
300,16,740.6000000089407,2.468666666696469,0.00026041666666666666
300,63,824.3999999910593,2.747999999970198,0.001025390625
300,251,711.2999999970198,2.3709999999900657,0.0040852864583333336
300,1000,752.0999999940395,2.5069999999801316,0.016276041666666668
300,3981,1138.7000000029802,3.795666666676601,0.064794921875
300,15849,881.3999999910593,2.937999999970198,0.257958984375
300,63096,991.5999999940395,3.305333333313465,1.026953125
300,251189,4438,14.793333333333333,4.088362630208334
400,1,1166.4000000059605,2.9160000000149013,0.000016276041666666666
400,4,1160.7999999970198,2.901999999992549,0.00006510416666666667
400,16,1207.7000000029802,3.0192500000074505,0.00026041666666666666
400,63,1114.4000000059605,2.786000000014901,0.001025390625
400,251,1075.5999999940395,2.6889999999850986,0.0040852864583333336
400,1000,1018.2999999970198,2.5457499999925495,0.016276041666666668
400,3981,1020,2.55,0.064794921875
400,15849,1353.9000000059605,3.3847500000149013,0.257958984375
400,63096,1318.0999999940395,3.295249999985099,1.026953125
400,251189,2754.2999999970198,6.88574999999255,4.088362630208334
