Size (bytes),Size (readable),Time (ms),mb/s
0,NaN undefined,213.10,0
0,NaN undefined,215.00,0
0,NaN undefined,213.50,0
0,NaN undefined,219.10,0
0,NaN undefined,215.00,0
50000,48.83 KB,428.10,0.11679514131968179
50000,48.83 KB,410.20,0.12189176011613051
50000,48.83 KB,320.70,0.15590894917223372
50000,48.83 KB,229.50,0.2178649237472767
50000,48.83 KB,215.30,0.23223409196791506
100000,97.66 KB,414.70,0.241138172170922
100000,97.66 KB,425.50,0.23501762632197415
100000,97.66 KB,318.10,0.31436655140482167
100000,97.66 KB,221.10,0.4522840343857794
100000,97.66 KB,219.90,0.4547521600912497
150000,146.48 KB,237.00,0.6329113924050633
150000,146.48 KB,248.70,0.6031363087985626
150000,146.48 KB,233.30,0.6429489927214579
150000,146.48 KB,219.80,0.6824385804907402
150000,146.48 KB,217.50,0.6896551724137931
200000,195.31 KB,250.00,0.8
200000,195.31 KB,236.40,0.8460236886419514
200000,195.31 KB,220.20,0.9082652134300325
200000,195.31 KB,220.10,0.9086778737183832
200000,195.31 KB,227.60,0.8787346221095936
250000,244.14 KB,343.50,0.727802037845706
250000,244.14 KB,218.50,1.1441647597254005
250000,244.14 KB,240.00,1.0416666666666667
250000,244.14 KB,234.90,1.0642826735185842
250000,244.14 KB,231.60,1.079447322928968
300000,292.97 KB,331.00,0.9063444108761329
300000,292.97 KB,339.00,0.8849557522123894
300000,292.97 KB,308.40,0.9727626459425979
300000,292.97 KB,310.30,0.9668063164307921
300000,292.97 KB,328.10,0.9143553794740932
350000,341.8 KB,312.70,1.119283658447919
350000,341.8 KB,307.20,1.1393229166556138
350000,341.8 KB,341.00,1.0263929618768328
350000,341.8 KB,344.60,1.015670342443569
350000,341.8 KB,334.30,1.0469638049282657
400000,390.63 KB,316.20,1.26502213787549
400000,390.63 KB,311.30,1.284934147137261
400000,390.63 KB,326.40,1.2254901960560525
400000,390.63 KB,340.00,1.1764705882352942
400000,390.63 KB,311.20,1.2853470436894903
450000,439.45 KB,322.30,1.3962147068078221
450000,439.45 KB,325.30,1.3833384568217728
450000,439.45 KB,330.20,1.3628104179162281
450000,439.45 KB,329.10,1.3673655423511843
450000,439.45 KB,331.40,1.357875678974473
500000,488.28 KB,313.80,1.593371574266248
500000,488.28 KB,329.40,1.5179113540181275
500000,488.28 KB,328.60,1.5216068168261396
500000,488.28 KB,343.70,1.4547570555591054
500000,488.28 KB,314.60,1.5893197710927858
550000,537.11 KB,401.40,1.370204285033011
550000,537.11 KB,404.30,1.3603759584567259
550000,537.11 KB,422.40,1.3020833333149597
550000,537.11 KB,407.90,1.3483696984850586
550000,537.11 KB,415.10,1.3249819320835883
600000,585.94 KB,420.90,1.4255167498016232
600000,585.94 KB,451.80,1.3280212483487335
600000,585.94 KB,421.40,1.4238253440709856
600000,585.94 KB,443.70,1.3522650439395312
600000,585.94 KB,419.80,1.4292520247838483
650000,634.77 KB,429.80,1.512331316902064
650000,634.77 KB,418.40,1.553537284872706
650000,634.77 KB,408.90,1.589630716591373
650000,634.77 KB,440.80,1.4745916515526194
650000,634.77 KB,463.70,1.4017683847224982
700000,683.59 KB,417.50,1.6766467065868262
700000,683.59 KB,422.20,1.6579819990408784
700000,683.59 KB,419.00,1.6706443914081146
700000,683.59 KB,408.30,1.7144256674139344
700000,683.59 KB,428.60,1.6332244516691503
750000,732.42 KB,420.80,1.782319391647604
750000,732.42 KB,444.30,1.688048615811458
750000,732.42 KB,459.10,1.6336310172287893
750000,732.42 KB,428.00,1.7523364485981308
750000,732.42 KB,425.10,1.7642907551411808
800000,781.25 KB,497.10,1.6093341379714574
800000,781.25 KB,501.80,1.5942606616276431
800000,781.25 KB,526.50,1.519468186134853
800000,781.25 KB,532.60,1.5020653398170682
800000,781.25 KB,493.50,1.6210739614994933
850000,830.08 KB,554.50,1.532912533814247
850000,830.08 KB,560.00,1.5178571428571428
850000,830.08 KB,497.60,1.708199356882491
850000,830.08 KB,537.00,1.5828677839851024
850000,830.08 KB,540.10,1.5737826328197173
900000,878.91 KB,522.60,1.7221584385468862
900000,878.91 KB,502.20,1.792114695383042
900000,878.91 KB,547.20,1.6447368421410944
900000,878.91 KB,539.30,1.6688299647783673
