Size (bytes),Size (readable),Time (ms),mb/s
0,NaN undefined,10.20,0
0,NaN undefined,7.50,0
0,NaN undefined,6.60,0
0,NaN undefined,11.20,0
0,NaN undefined,7.60,0
50000,48.83 KB,26.80,1.865671640961174
50000,48.83 KB,39.50,1.2658227848101267
50000,48.83 KB,1040.00,0.04807692307692308
50000,48.83 KB,440.60,0.11348161597590875
50000,48.83 KB,32.20,1.5527950316307688
100000,97.66 KB,44.90,2.2271714919092434
100000,97.66 KB,79.10,1.2642225032558199
100000,97.66 KB,49.80,2.008032128634225
100000,97.66 KB,39.20,2.5510204089390442
100000,97.66 KB,99.60,1.0040160641669016
150000,146.48 KB,84.40,1.7772511850223918
150000,146.48 KB,125.00,1.2
150000,146.48 KB,71.10,2.1097046410849196
150000,146.48 KB,89.80,1.6703786189319325
150000,146.48 KB,99.80,1.503006012068931
200000,195.31 KB,159.30,1.255492780822557
200000,195.31 KB,148.40,1.3477088948245757
200000,195.31 KB,139.90,1.4295925662100182
200000,195.31 KB,128.80,1.5527950309121836
200000,195.31 KB,140.60,1.422475106745936
250000,244.14 KB,159.70,1.56543519095388
250000,244.14 KB,113.20,2.2084805653128816
250000,244.14 KB,1067.80,0.23412624086973005
250000,244.14 KB,560.40,0.4461099214917711
250000,244.14 KB,164.00,1.524390243902439
300000,292.97 KB,220.40,1.3611615244640964
300000,292.97 KB,1167.00,0.2570694087403599
300000,292.97 KB,629.70,0.47641734158897914
300000,292.97 KB,194.80,1.540041067785368
300000,292.97 KB,137.30,2.1849963583868304
350000,341.8 KB,112.40,3.113879003393593
350000,341.8 KB,238.40,1.4681208053324217
350000,341.8 KB,180.80,1.9358407079965114
350000,341.8 KB,171.70,2.0384391379960687
350000,341.8 KB,216.10,1.6196205460881707
400000,390.63 KB,321.30,1.2449424214245572
400000,390.63 KB,1255.40,0.3186235462785573
400000,390.63 KB,683.10,0.5855658029622167
400000,390.63 KB,181.50,2.203856749311295
400000,390.63 KB,226.30,1.7675651789892521
450000,439.45 KB,181.60,2.47797356836327
450000,439.45 KB,209.40,2.1489971347622423
450000,439.45 KB,231.20,1.946366781981831
450000,439.45 KB,249.10,1.8065034123274493
450000,439.45 KB,248.90,1.8079550019655435
500000,488.28 KB,293.90,1.7012589316611448
500000,488.28 KB,205.70,2.4307243559989136
500000,488.28 KB,204.10,2.4497795197359005
500000,488.28 KB,244.40,2.0458265139864613
500000,488.28 KB,207.80,2.406159769043171
550000,537.11 KB,343.70,1.600232761184394
550000,537.11 KB,320.60,1.7155333748741795
550000,537.11 KB,270.40,2.034023668594217
550000,537.11 KB,1496.70,0.36747511191214327
550000,537.11 KB,650.20,0.8458935712049817
600000,585.94 KB,339.80,1.76574455563644
600000,585.94 KB,401.50,1.4943960149439601
600000,585.94 KB,317.70,1.8885741265167504
600000,585.94 KB,1081.60,0.5547337278060653
600000,585.94 KB,648.90,0.9246417013322372
650000,634.77 KB,301.40,2.1566025215233764
650000,634.77 KB,392.30,1.6568952332524547
650000,634.77 KB,326.70,1.9895928986656584
650000,634.77 KB,298.60,2.1768251842363524
650000,634.77 KB,1323.00,0.491307634164777
700000,683.59 KB,677.20,1.0336680448861775
700000,683.59 KB,458.40,1.5270506108500281
700000,683.59 KB,409.40,1.7098192476546377
700000,683.59 KB,524.40,1.3348588863311281
700000,683.59 KB,1438.80,0.48651654156342083
750000,732.42 KB,1017.30,0.7372456502528233
750000,732.42 KB,528.90,1.4180374361723347
750000,732.42 KB,414.00,1.8115942028985508
750000,732.42 KB,525.70,1.4266692029593842
750000,732.42 KB,538.70,1.3922405791643786
800000,781.25 KB,469.90,1.7024898914446742
800000,781.25 KB,418.10,1.9134178426486603
800000,781.25 KB,483.00,1.6563146997929608
800000,781.25 KB,407.50,1.9631901840490797
800000,781.25 KB,438.70,1.823569637615087
850000,830.08 KB,514.10,1.6533748298188191
850000,830.08 KB,538.70,1.577872656386296
850000,830.08 KB,407.40,2.086401570907128
850000,830.08 KB,529.30,1.6058945777532325
850000,830.08 KB,572.80,1.4839385474937543
900000,878.91 KB,606.70,1.483434976129362
900000,878.91 KB,631.90,1.4242759930234383
900000,878.91 KB,547.90,1.6426355174123182
900000,878.91 KB,530.70,1.6958733747784924
900000,878.91 KB,605.70,1.4858841010328079
950000,927.73 KB,520.40,1.825518831647039
950000,927.73 KB,662.50,1.4339622641509433
950000,927.73 KB,707.10,1.3435157686437675
950000,927.73 KB,519.10,1.8300905412899975
950000,927.73 KB,544.40,1.7450404114430542
1000000,976.56 KB,538.00,1.858736059479554
1000000,976.56 KB,596.70,1.675884028816835
1000000,976.56 KB,512.10,1.952743604787423
1000000,976.56 KB,1495.80,0.6685385746770908
1000000,976.56 KB,1115.10,0.8967805578023005
1050000,1 MB,1628.70,0.6446859458452009
1050000,1 MB,2053.40,0.5113470341857174
1050000,1 MB,1058.30,0.9921572333014805
1050000,1 MB,513.20,2.045985970370036
1050000,1 MB,464.10,2.262443438943084
1100000,1.05 MB,532.10,2.0672805863791055
1100000,1.05 MB,502.50,2.189054726368159
1100000,1.05 MB,531.70,2.0688358097134896
1100000,1.05 MB,1523.60,0.7219742714580895
1100000,1.05 MB,1050.00,1.0476190476190477
1150000,1.1 MB,586.50,1.9607843137254901
1150000,1.1 MB,590.70,1.9468427289558117
1150000,1.1 MB,560.40,2.052105638807581
1150000,1.1 MB,528.80,2.1747352496340415
1150000,1.1 MB,438.40,2.6231751825352485
1200000,1.14 MB,590.90,2.030800473832959
1200000,1.14 MB,610.60,1.9652800523786915
1200000,1.14 MB,552.30,2.1727322107667484
1200000,1.14 MB,717.90,1.6715419974788088
1200000,1.14 MB,1400.40,0.8568980291400038
1250000,1.19 MB,946.30,1.3209341646453943
1250000,1.19 MB,651.40,1.918943813351484
1250000,1.19 MB,603.40,2.071594298952026
1250000,1.19 MB,736.10,1.698138839845295
1250000,1.19 MB,737.60,1.6946854663568984
1300000,1.24 MB,750.90,1.731255826327981
1300000,1.24 MB,746.90,1.7405275137442249
1300000,1.24 MB,724.70,1.7938457292599062
1300000,1.24 MB,698.20,1.8619306788806231
1300000,1.24 MB,658.70,1.973584332767752
1350000,1.29 MB,643.60,2.0975761342642985
1350000,1.29 MB,1519.90,0.8882163300182288
1350000,1.29 MB,1096.00,1.2317518248175183
1350000,1.29 MB,1494.70,0.9031912758395051
1350000,1.29 MB,1117.90,1.2076214330376618
1400000,1.34 MB,815.30,1.7171593278610542
1400000,1.34 MB,929.20,1.5066724063662396
1400000,1.34 MB,873.50,1.6027475672581568
1400000,1.34 MB,1163.70,1.2030592076964979
1400000,1.34 MB,1216.30,1.151031817810927
1450000,1.38 MB,781.40,1.855643716427682
1450000,1.38 MB,880.20,1.6473528743690502
1450000,1.38 MB,974.70,1.4876372217274383
1450000,1.38 MB,770.00,1.8831168831168832
1450000,1.38 MB,893.40,1.6230132079587263
1500000,1.43 MB,1359.30,1.10350915912844
1500000,1.43 MB,1114.70,1.34565353906521
1500000,1.43 MB,739.10,2.029495332177103
1500000,1.43 MB,687.50,2.1818181818181817
1500000,1.43 MB,882.30,1.7001020061261098
1550000,1.48 MB,698.20,2.2199942709730505
1550000,1.48 MB,904.00,1.7146017699115044
1550000,1.48 MB,788.10,1.9667554878971232
1550000,1.48 MB,888.40,1.7447095902629455
1550000,1.48 MB,761.10,2.0365260806487875
1600000,1.53 MB,692.40,2.310803004024013
1600000,1.53 MB,776.60,2.060262683468426
1600000,1.53 MB,870.40,1.8382352941050588
1600000,1.53 MB,846.20,1.8908059560653985
1600000,1.53 MB,774.20,2.0666494445800065
1650000,1.57 MB,696.80,2.367967853052608
1650000,1.57 MB,840.30,1.9635844341376316
1650000,1.57 MB,704.30,2.3427516682835043
1650000,1.57 MB,936.50,1.7618793379604911
1650000,1.57 MB,778.50,2.1194605009633913
1700000,1.62 MB,1020.70,1.6655236602283103
1700000,1.62 MB,860.70,1.9751365167818213
1700000,1.62 MB,840.20,2.0233277790930373
1700000,1.62 MB,807.30,2.1057847144881405
1700000,1.62 MB,1553.90,1.0940214943109474
1750000,1.67 MB,1265.60,1.3827433628383705
1750000,1.67 MB,1003.70,1.743548869178842
1750000,1.67 MB,945.10,1.8516559094392517
1750000,1.67 MB,834.70,2.0965616389046984
1750000,1.67 MB,1115.30,1.5690845512460112
1800000,1.72 MB,830.80,2.1665864227328564
1800000,1.72 MB,959.60,1.8757815756681748
1800000,1.72 MB,1047.20,1.7188693659232976
1800000,1.72 MB,994.60,1.8097727729577915
1800000,1.72 MB,1105.50,1.6282225237449117
1850000,1.76 MB,951.50,1.9442984760903836
1850000,1.76 MB,1109.70,1.6671172388889173
1850000,1.76 MB,1085.30,1.7045978070392331
1850000,1.76 MB,1083.60,1.7072720560951788
1850000,1.76 MB,1768.00,1.0463800904977376
1900000,1.81 MB,2197.80,0.8645008645020368
1900000,1.81 MB,1447.70,1.3124266077198927
1900000,1.81 MB,2171.50,0.8749712180520378
1900000,1.81 MB,1542.90,1.2314472746198781
1900000,1.81 MB,1194.90,1.590091221014748
1950000,1.86 MB,1411.70,1.3813133101904678
1950000,1.86 MB,1427.80,1.3657374982376518
1950000,1.86 MB,1713.60,1.1379551820767873
1950000,1.86 MB,1623.70,1.2009607686126875
1950000,1.86 MB,1156.90,1.685538940262731
2000000,1.91 MB,1224.80,1.6329196603368175
2000000,1.91 MB,1084.50,1.8441678192715538
2000000,1.91 MB,1330.40,1.5033072760173185
2000000,1.91 MB,2032.80,0.983864620229699
