Size (bytes),Size (readable),Time (ms),mb/s
0,NaN undefined,15.80,0
0,NaN undefined,7.80,0
0,NaN undefined,9.40,0
0,NaN undefined,6.20,0
0,NaN undefined,8.00,0
50000,48.83 KB,23.70,2.1097046413491745
50000,48.83 KB,28.00,1.7857142857142858
50000,48.83 KB,29.60,1.689189189190518
50000,48.83 KB,19.20,2.604166666665088
50000,48.83 KB,1034.90,0.048313846748479744
100000,97.66 KB,443.80,0.22532672374941304
100000,97.66 KB,32.70,3.0581039755340793
100000,97.66 KB,29.90,3.3444816053485664
100000,97.66 KB,36.20,2.7624309392256308
100000,97.66 KB,50.50,1.9801980198019802
150000,146.48 KB,50.40,2.9761904761891014
150000,146.48 KB,76.60,1.9582245430800471
150000,146.48 KB,1063.40,0.14105698702276181
150000,146.48 KB,478.60,0.31341412452989403
150000,146.48 KB,60.70,2.471169686984699
200000,195.31 KB,88.40,2.262443438913431
200000,195.31 KB,67.90,2.9455081001462653
200000,195.31 KB,1466.10,0.13641634267785496
200000,195.31 KB,474.80,0.42122999157535884
200000,195.31 KB,68.10,2.9368575624092275
250000,244.14 KB,1364.30,0.18324415451146484
250000,244.14 KB,517.50,0.4830917874396135
250000,244.14 KB,99.20,2.5201612903222848
250000,244.14 KB,94.30,2.651113467656743
250000,244.14 KB,89.50,2.793296089385475
300000,292.97 KB,112.60,2.66429840142151
300000,292.97 KB,91.00,3.2967032967032965
300000,292.97 KB,143.90,2.0847810979843744
300000,292.97 KB,111.20,2.6978417266184227
300000,292.97 KB,315.70,0.9502692429521348
350000,341.8 KB,153.30,2.2831050228303567
350000,341.8 KB,78.40,4.464285714287703
350000,341.8 KB,1516.10,0.23085548446672738
350000,341.8 KB,575.30,0.6083782374413472
350000,341.8 KB,147.40,2.3744911804609545
400000,390.63 KB,116.60,3.4305317324174975
400000,390.63 KB,168.80,2.369668246445661
400000,390.63 KB,136.40,2.9325513196475934
400000,390.63 KB,156.40,2.5575447570328675
400000,390.63 KB,130.90,3.055767761649571
450000,439.45 KB,151.60,2.9683377308700285
450000,439.45 KB,127.40,3.5321821036100296
450000,439.45 KB,216.60,2.0775623268700296
450000,439.45 KB,188.00,2.393617021276596
450000,439.45 KB,136.30,3.301540719002483
500000,488.28 KB,240.30,2.0807324178111704
500000,488.28 KB,200.80,2.490039840636873
500000,488.28 KB,214.20,2.3342670401492662
500000,488.28 KB,163.30,3.061849357010762
500000,488.28 KB,246.60,2.027575020275463
550000,537.11 KB,259.00,2.1235521235521237
550000,537.11 KB,146.40,3.7568306010922985
550000,537.11 KB,172.40,3.1902552204182797
550000,537.11 KB,220.10,2.4988641526574864
550000,537.11 KB,157.20,3.4987277353686976
600000,585.94 KB,220.20,2.7247956403268314
600000,585.94 KB,258.50,2.3210831721470018
600000,585.94 KB,270.90,2.214839424141559
600000,585.94 KB,254.80,2.354788069073891
600000,585.94 KB,170.90,3.5108250438860304
650000,634.77 KB,276.70,2.349114564510201
650000,634.77 KB,235.90,2.7554048325558957
650000,634.77 KB,228.30,2.847130968024674
650000,634.77 KB,239.80,2.7105921601335763
650000,634.77 KB,229.30,2.8347143480158437
700000,683.59 KB,428.70,1.6328434802894238
700000,683.59 KB,212.10,3.3003300330027567
700000,683.59 KB,236.50,2.959830866807611
700000,683.59 KB,231.40,3.0250648228173276
700000,683.59 KB,183.90,3.8064165307227373
750000,732.42 KB,204.30,3.6710719530104883
750000,732.42 KB,230.00,3.260869565217391
750000,732.42 KB,264.10,2.839833396440367
750000,732.42 KB,312.90,2.396931927133091
750000,732.42 KB,299.30,2.5058469762780793
800000,781.25 KB,293.00,2.7303754266211606
800000,781.25 KB,421.90,1.8961839298410899
800000,781.25 KB,364.50,2.1947873799725652
800000,781.25 KB,241.80,3.3085194375518547
800000,781.25 KB,327.50,2.4427480916030535
850000,830.08 KB,320.90,2.648800249299135
850000,830.08 KB,1261.00,0.6740681998413958
850000,830.08 KB,556.10,1.5285020679732901
850000,830.08 KB,296.50,2.866779089376054
850000,830.08 KB,351.80,2.4161455372371465
900000,878.91 KB,310.90,2.894821486008688
900000,878.91 KB,302.90,2.971277649389009
900000,878.91 KB,388.50,2.3166023166023164
900000,878.91 KB,275.90,3.2620514679228854
900000,878.91 KB,350.20,2.5699600228440036
950000,927.73 KB,334.30,2.841758899192441
950000,927.73 KB,352.00,2.6988636363636362
950000,927.73 KB,290.60,3.2690984170683968
950000,927.73 KB,320.80,2.961346633416566
950000,927.73 KB,399.20,2.3797595190380068
1000000,976.56 KB,371.80,2.689618074233543
1000000,976.56 KB,399.50,2.5031289111389237
1000000,976.56 KB,440.00,2.272727272727273
1000000,976.56 KB,470.80,2.1240441801187364
1000000,976.56 KB,414.60,2.4119633381570567
1050000,1 MB,411.10,2.5541230844078315
1050000,1 MB,379.50,2.766798418972332
1050000,1 MB,435.50,2.4110218140068884
1050000,1 MB,470.90,2.2297727755363725
1050000,1 MB,374.00,2.807486631016043
1100000,1.05 MB,360.60,3.050471436494928
1100000,1.05 MB,407.20,2.7013752455794906
1100000,1.05 MB,336.80,3.2660332541568824
1100000,1.05 MB,340.80,3.227699530516542
1100000,1.05 MB,1309.80,0.8398228737211862
1150000,1.1 MB,888.80,1.293879387938726
1150000,1.1 MB,388.00,2.963917525773196
1150000,1.1 MB,369.60,3.1114718614720576
1150000,1.1 MB,420.40,2.735490009514975
1150000,1.1 MB,390.80,2.942681678607633
1200000,1.14 MB,428.60,2.79981334577672
1200000,1.14 MB,678.00,1.7699115044247788
1200000,1.14 MB,357.70,3.3547665641598012
1200000,1.14 MB,353.00,3.3994334277620397
1200000,1.14 MB,339.80,3.531489111241423
1250000,1.19 MB,363.00,3.443526170798898
1250000,1.19 MB,506.90,2.465969619254461
1250000,1.19 MB,503.80,2.4811433108374046
1250000,1.19 MB,400.20,3.1234382808594794
1250000,1.19 MB,458.70,2.725092653150138
1300000,1.24 MB,374.00,3.4759358288770055
1300000,1.24 MB,499.80,2.6010404161665273
1300000,1.24 MB,431.70,3.0113504748667244
1300000,1.24 MB,462.40,2.8114186851209655
1300000,1.24 MB,496.80,2.6167471819646346
1350000,1.29 MB,427.30,3.159372805991193
1350000,1.29 MB,434.60,3.106304647952306
1350000,1.29 MB,1074.10,1.2568662135741142
1350000,1.29 MB,875.40,1.5421521590129816
1350000,1.29 MB,479.80,2.8136723634848537
1400000,1.34 MB,455.90,3.0708488703661514
1400000,1.34 MB,656.80,2.1315468940317066
1400000,1.34 MB,555.30,2.5211597334774525
1400000,1.34 MB,593.60,2.358490566037597
1400000,1.34 MB,624.70,2.2410757163438033
1450000,1.38 MB,560.30,2.5878993396392636
1450000,1.38 MB,538.10,2.694666418881074
1450000,1.38 MB,409.80,3.5383113714002814
1450000,1.38 MB,423.60,3.4230406043434383
1450000,1.38 MB,1269.50,1.142181961402127
1500000,1.43 MB,776.80,1.9309989701339116
1500000,1.43 MB,497.00,3.0181086519114686
1500000,1.43 MB,520.90,2.8796314071797524
1500000,1.43 MB,412.50,3.6363636363636362
1500000,1.43 MB,1126.20,1.3319126265317547
1550000,1.48 MB,990.10,1.5654984345016023
1550000,1.48 MB,1591.60,0.9738627795928412
1550000,1.48 MB,909.00,1.705170517051705
1550000,1.48 MB,746.60,2.076078221269659
1550000,1.48 MB,601.10,2.578605889202978
1600000,1.53 MB,578.20,2.767208578346537
1600000,1.53 MB,539.00,2.968460111317254
1600000,1.53 MB,637.20,2.510985561833203
1600000,1.53 MB,495.60,3.228410008071177
1600000,1.53 MB,525.40,3.0452988199465723
1650000,1.57 MB,865.90,1.9055318166069473
1650000,1.57 MB,657.20,2.5106512477175453
1650000,1.57 MB,899.30,1.8347603691760495
1650000,1.57 MB,640.80,2.5749063670410113
1650000,1.57 MB,586.00,2.8156996587030716
1700000,1.62 MB,1537.30,1.1058349053535503
1700000,1.62 MB,1082.10,1.571019314296225
1700000,1.62 MB,568.70,2.989273782310472
1700000,1.62 MB,730.40,2.3274917853232218
1700000,1.62 MB,612.70,2.7746042108701308
1750000,1.67 MB,696.20,2.5136455041654275
1750000,1.67 MB,635.70,2.75287085103031
1750000,1.67 MB,741.30,2.36071765816812
1750000,1.67 MB,705.30,2.4812136679427605
1750000,1.67 MB,1513.80,1.1560311798124014
1800000,1.72 MB,1059.30,1.699235344095176
1800000,1.72 MB,720.00,2.5
1800000,1.72 MB,829.50,2.1699819168173597
1800000,1.72 MB,661.70,2.720265981562594
1800000,1.72 MB,612.70,2.9378162232739773
1850000,1.76 MB,555.70,3.3291344250494173
1850000,1.76 MB,781.10,2.368454743310786
1850000,1.76 MB,610.40,3.0307994757537777
1850000,1.76 MB,858.30,2.1554235115927125
1850000,1.76 MB,712.30,2.5972202723571955
1900000,1.81 MB,686.00,2.7696793002915454
1900000,1.81 MB,789.40,2.4068913098555154
1900000,1.81 MB,591.80,3.2105441027374746
1900000,1.81 MB,645.70,2.9425429766144737
1900000,1.81 MB,740.80,2.564794816414727
1950000,1.86 MB,755.20,2.582097457627079
1950000,1.86 MB,1982.00,0.9838546922300706
1950000,1.86 MB,942.10,2.0698439656086696
1950000,1.86 MB,723.90,2.6937422295896356
1950000,1.86 MB,1537.90,1.2679628064243258
2000000,1.91 MB,1114.80,1.7940437746681206
2000000,1.91 MB,902.40,2.2163120567375314
2000000,1.91 MB,712.30,2.8078056998456167
2000000,1.91 MB,1256.60,1.5915963711603032
2000000,1.91 MB,1319.10,1.516185277840912
2050000,1.96 MB,732.00,2.800546448087432
2050000,1.96 MB,826.70,2.47973872021286
2050000,1.96 MB,1550.30,1.3223247113462009
2050000,1.96 MB,1064.00,1.9266917293233083
2050000,1.96 MB,685.00,2.9927007299270074
2100000,2 MB,923.10,2.274943126421897
2100000,2 MB,696.80,3.013777267508661
2100000,2 MB,772.60,2.7180947450169084
2100000,2 MB,608.60,3.450542228064212
2100000,2 MB,1064.40,1.9729425028184462
2150000,2.05 MB,1282.10,1.6769362764215265
2150000,2.05 MB,721.60,2.979490022173045
2150000,2.05 MB,808.00,2.660891089108911
2150000,2.05 MB,859.50,2.501454333915067
2150000,2.05 MB,814.40,2.639980353634502
2200000,2.1 MB,677.70,3.2462741626087683
2200000,2.1 MB,747.10,2.944719582385085
2200000,2.1 MB,822.10,2.6760734703808082
2200000,2.1 MB,862.60,2.550428935775631
2200000,2.1 MB,716.80,3.0691964285714786
2250000,2.15 MB,797.20,2.8223783241344296
2250000,2.15 MB,677.40,3.3215234720993743
2250000,2.15 MB,686.30,3.2784496575839244
2250000,2.15 MB,845.10,2.6624068157613383
2250000,2.15 MB,876.70,2.5664423405953807
2300000,2.19 MB,902.40,2.5487588652483257
2300000,2.19 MB,810.40,2.8381046396840253
2300000,2.19 MB,768.10,2.994401770602877
2300000,2.19 MB,896.10,2.5666778261355425
2300000,2.19 MB,722.90,3.181629547655175
2350000,2.24 MB,902.60,2.6035896299579666
2350000,2.24 MB,963.60,2.4387712743877716
2350000,2.24 MB,952.10,2.468228127297613
2350000,2.24 MB,1000.50,2.348825587206397
2350000,2.24 MB,849.50,2.766333137139494
2400000,2.29 MB,799.60,3.0015007503750564
2400000,2.29 MB,935.70,2.5649246553382175
2400000,2.29 MB,922.20,2.6024723487312618
2400000,2.29 MB,949.60,2.527379949452463
2400000,2.29 MB,895.90,2.678870409643864
2450000,2.34 MB,882.50,2.776203966005666
2450000,2.34 MB,863.30,2.837947411096992
2450000,2.34 MB,835.40,2.932726837443059
2450000,2.34 MB,797.00,3.0740276035131746
2450000,2.34 MB,1006.00,2.4353876739562623
2500000,2.38 MB,1461.00,1.7111567419575633
2500000,2.38 MB,1216.40,2.055244985202295
2500000,2.38 MB,950.10,2.6313019682139367
2500000,2.38 MB,977.50,2.557544757033248
2500000,2.38 MB,859.20,2.9096834264431637
2550000,2.43 MB,830.80,3.0693307655272455
2550000,2.43 MB,808.20,3.155159613956896
2550000,2.43 MB,971.50,2.624806999485332
2550000,2.43 MB,992.30,2.569787362692764
2550000,2.43 MB,904.50,2.8192371475953566
2600000,2.48 MB,1080.00,2.4074074074074074
2600000,2.48 MB,1009.30,2.57604280194197
2600000,2.48 MB,1233.90,2.107139962719891
2600000,2.48 MB,1245.50,2.0875150541951024
2600000,2.48 MB,870.40,2.9871323529410967
2650000,2.53 MB,916.20,2.892381576075056
2650000,2.53 MB,879.30,3.0137609462070505
2650000,2.53 MB,1023.00,2.590420332355816
2650000,2.53 MB,997.20,2.6574408343361102
2650000,2.53 MB,987.00,2.684903748733536
2700000,2.57 MB,1124.10,2.4019215372298337
2700000,2.57 MB,906.90,2.977174991729993
2700000,2.57 MB,830.50,3.25105358217941
2700000,2.57 MB,1019.90,2.6473183645454834
2700000,2.57 MB,1011.00,2.6706231454005933
2750000,2.62 MB,1151.50,2.388189318280504
2750000,2.62 MB,887.00,3.100338218714769
2750000,2.62 MB,897.30,3.0647498049703077
2750000,2.62 MB,1010.80,2.7206173328058862
2750000,2.62 MB,1009.50,2.7241208519068847
2800000,2.67 MB,969.20,2.8889806025589504
2800000,2.67 MB,1079.40,2.594033722438336
2800000,2.67 MB,979.00,2.860061287027579
2800000,2.67 MB,1319.60,2.1218551076084036
2800000,2.67 MB,1760.00,1.5909090909090908
2850000,2.72 MB,1319.00,2.1607278241091734
2850000,2.72 MB,919.50,3.099510603588907
2850000,2.72 MB,1054.60,2.702446425184964
2850000,2.72 MB,980.20,2.907569883697343
2850000,2.72 MB,915.80,3.112033195020589
2900000,2.77 MB,1059.10,2.738173921253654
