Size (bytes),Size (readable),Time (ms),mb/s
0,NaN undefined,409.70,0
0,NaN undefined,402.60,0
0,NaN undefined,400.20,0
0,NaN undefined,399.70,0
0,NaN undefined,402.60,0
50000,48.83 KB,986.00,0.05070993914807302
50000,48.83 KB,787.00,0.06353240152477764
50000,48.83 KB,637.90,0.0783821915660769
50000,48.83 KB,412.90,0.12109469605231035
50000,48.83 KB,415.80,0.12025012025011941
100000,97.66 KB,807.70,0.12380834468243204
100000,97.66 KB,789.00,0.1267427122940431
100000,97.66 KB,785.90,0.12724265173686314
100000,97.66 KB,786.60,0.12712941774726813
100000,97.66 KB,599.90,0.16669444907484338
150000,146.48 KB,604.70,0.2480568877129167
150000,146.48 KB,610.50,0.2457002457002457
150000,146.48 KB,609.30,0.2461841457410131
150000,146.48 KB,613.10,0.24465829391616142
150000,146.48 KB,789.20,0.1900658895083636
200000,195.31 KB,625.20,0.3198976327575191
200000,195.31 KB,612.40,0.3265839320705375
200000,195.31 KB,630.60,0.31715826197272146
200000,195.31 KB,626.10,0.31943778949049373
200000,195.31 KB,616.30,0.3245172805451952
250000,244.14 KB,632.90,0.39500711012798595
250000,244.14 KB,630.00,0.3968253968253968
250000,244.14 KB,616.00,0.40584415584415584
250000,244.14 KB,611.80,0.40863027133050794
250000,244.14 KB,623.10,0.40121970791205824
300000,292.97 KB,657.70,0.45613501596472755
300000,292.97 KB,650.10,0.46146746654360454
300000,292.97 KB,637.40,0.4706620646375945
300000,292.97 KB,622.60,0.4818503051718667
300000,292.97 KB,657.70,0.45613501596472755
350000,341.8 KB,622.30,0.5624296962879614
350000,341.8 KB,687.60,0.5090168702734212
350000,341.8 KB,670.00,0.5223880597014925
350000,341.8 KB,638.70,0.5479881008298131
350000,341.8 KB,626.80,0.5583918315252178
400000,390.63 KB,844.60,0.4735969689793953
400000,390.63 KB,631.90,0.6330115524608383
400000,390.63 KB,648.50,0.6168080185042406
400000,390.63 KB,658.50,0.6074411541381929
400000,390.63 KB,642.60,0.6224712107064991
450000,439.45 KB,657.50,0.6844106463878327
450000,439.45 KB,684.80,0.6571261682242963
450000,439.45 KB,682.80,0.6590509666080816
450000,439.45 KB,671.00,0.6706408345752608
450000,439.45 KB,629.90,0.7143991109699853
500000,488.28 KB,650.80,0.7682851874615823
500000,488.28 KB,701.30,0.7129616426636217
500000,488.28 KB,727.00,0.687757909215956
500000,488.28 KB,657.40,0.7605719501064868
500000,488.28 KB,661.00,0.75642965204236
550000,537.11 KB,858.80,0.6404285048905428
550000,537.11 KB,822.80,0.6684491978609602
550000,537.11 KB,835.20,0.6585249042145502
550000,537.11 KB,844.10,0.6515815661651418
550000,537.11 KB,816.50,0.6736068585425597
600000,585.94 KB,859.60,0.6979990693345695
600000,585.94 KB,880.40,0.6815084052703362
600000,585.94 KB,840.90,0.7135212272565035
600000,585.94 KB,867.00,0.6920415224913494
600000,585.94 KB,882.90,0.6795786612300306
650000,634.77 KB,919.80,0.7066753642096085
650000,634.77 KB,891.40,0.729190038142241
650000,634.77 KB,938.70,0.6924470011718248
650000,634.77 KB,870.00,0.7471264367816092
650000,634.77 KB,886.00,0.7336343115124153
700000,683.59 KB,860.10,0.8138588536216664
700000,683.59 KB,919.60,0.7612005219660674
700000,683.59 KB,901.00,0.7769145394006659
700000,683.59 KB,908.70,0.7703312424342615
700000,683.59 KB,900.70,0.7771733096480666
750000,732.42 KB,849.70,0.8826644698128631
750000,732.42 KB,939.70,0.7981270618282579
750000,732.42 KB,906.60,0.8272667107875792
750000,732.42 KB,1082.60,0.6927766488084205
750000,732.42 KB,890.60,0.8421289018639064
800000,781.25 KB,1036.10,0.7721262426406674
800000,781.25 KB,1031.50,0.7755695588948134
800000,781.25 KB,1047.90,0.7634316251550763
800000,781.25 KB,1140.90,0.701200806380931
800000,781.25 KB,1017.90,0.7859318204145835
