Trials,Size Response (bytes),Time,Average Latency (ms),Num Packets Transferred
100,1,280.69999999925494,2.8069999999925495,0.000016276041666666666
100,4,294.40000000037253,2.9440000000037254,0.00006510416666666667
100,16,226.10000000149012,2.261000000014901,0.00026041666666666666
100,63,224.2999999988824,2.242999999988824,0.001025390625
100,251,261.5,2.615,0.0040852864583333336
100,1000,317.69999999925494,3.1769999999925496,0.016276041666666668
100,3981,288.5,2.885,0.064794921875
100,15849,938.8000000007451,9.38800000000745,0.257958984375
100,63096,3206.9000000003725,32.069000000003726,1.026953125
100,251189,13422,134.22,4.088362630208334
200,1,372.1000000014901,1.8605000000074505,0.000016276041666666666
200,4,392.2000000011176,1.9610000000055878,0.00006510416666666667
200,16,523.8000000007451,2.6190000000037252,0.00026041666666666666
200,63,452.80000000074506,2.2640000000037253,0.001025390625
200,251,378.5,1.8925,0.0040852864583333336
200,1000,484.1000000014901,2.4205000000074506,0.016276041666666668
200,3981,644.1999999992549,3.2209999999962746,0.064794921875
200,15849,1980.2000000011176,9.901000000005588,0.257958984375
200,63096,6742.299999998882,33.71149999999441,1.026953125
200,251189,26057.900000000373,130.28950000000185,4.088362630208334
300,1,696.1999999992549,2.320666666664183,0.000016276041666666666
300,4,636.9000000003725,2.123000000001242,0.00006510416666666667
300,16,677.2999999988824,2.2576666666629412,0.00026041666666666666
300,63,609.7999999988824,2.032666666662941,0.001025390625
300,251,599.0999999996275,1.9969999999987582,0.0040852864583333336
300,1000,1396.9000000003725,4.656333333334575,0.016276041666666668
300,3981,979.5,3.265,0.064794921875
300,15849,2591.9000000003725,8.639666666667909,0.257958984375
300,63096,9572.799999998882,31.90933333332961,1.026953125
300,251189,39486.699999999255,131.62233333333086,4.088362630208334
400,1,687.5,1.71875,0.000016276041666666666
400,4,773.6000000014901,1.9340000000037252,0.00006510416666666667
400,16,762.9000000003725,1.9072500000009314,0.00026041666666666666
400,63,879.5,2.19875,0.001025390625
400,251,827.3000000007451,2.0682500000018624,0.0040852864583333336
400,1000,964.5999999996275,2.4114999999990685,0.016276041666666668
400,3981,1541.5,3.85375,0.064794921875
400,15849,3660.5999999996275,9.151499999999068,0.257958984375
400,63096,12260,30.65,1.026953125
400,251189,52598.199999999255,131.49549999999815,4.088362630208334
