Trials,Size Response (bytes),Time,Average Latency (ms),Num Packets Transferred
100,63,256.60000000009313,2.5660000000009315,0.001025390625
100,251,281.10000000009313,2.811000000000931,0.0040852864583333336
100,1000,243.10000000009313,2.4310000000009313,0.016276041666666668
100,3981,261.89999999990687,2.6189999999990685,0.064794921875
100,15849,302.90000000037253,3.0290000000037254,0.257958984375
100,63096,346.1999999997206,3.461999999997206,1.026953125
100,251189,1167.1999999997206,11.671999999997206,4.088362630208334
200,63,423.29999999981374,2.1164999999990686,0.001025390625
200,251,681.2999999998137,3.4064999999990686,0.0040852864583333336
200,1000,424.10000000009313,2.1205000000004657,0.016276041666666668
200,3981,489.5,2.4475,0.064794921875
200,15849,759.2000000001863,3.7960000000009315,0.257958984375
200,63096,927.9000000003725,4.6395000000018625,1.026953125
200,251189,2464.600000000093,12.323000000000466,4.088362630208334
300,63,832.3000000002794,2.7743333333342646,0.001025390625
300,251,690.7999999998137,2.302666666666046,0.0040852864583333336
300,1000,1029.8999999999069,3.4329999999996894,0.016276041666666668
300,3981,917.5,3.058333333333333,0.064794921875
300,15849,762.3999999999069,2.541333333333023,0.257958984375
300,63096,1085.3000000002794,3.617666666667598,1.026953125
300,251189,3991,13.303333333333333,4.088362630208334
400,63,1273.3000000002794,3.1832500000006987,0.001025390625
400,251,814,2.035,0.0040852864583333336
400,1000,1364.1000000000931,3.4102500000002327,0.016276041666666668
400,3981,907,2.2675,0.064794921875
400,15849,1123.1000000000931,2.8077500000002327,0.257958984375
400,63096,1753.1999999997206,4.382999999999302,1.026953125
400,251189,5332.399999999907,13.330999999999767,4.088362630208334
