Size (bytes),Size (readable),Time (ms),mb/s
0,NaN undefined,212.20,0
0,NaN undefined,210.60,0
0,NaN undefined,211.50,0
0,NaN undefined,212.40,0
0,NaN undefined,211.30,0
50000,48.83 KB,425.50,0.11750881316098707
50000,48.83 KB,252.20,0.19825535289511384
50000,48.83 KB,226.00,0.22123893805309736
50000,48.83 KB,211.50,0.2364066193853428
50000,48.83 KB,212.90,0.234852043212365
100000,97.66 KB,313.30,0.31918289179624065
100000,97.66 KB,314.20,0.3182686187130627
100000,97.66 KB,225.80,0.4428697962784324
100000,97.66 KB,214.70,0.4657661853725173
100000,97.66 KB,213.40,0.46860356138624853
150000,146.48 KB,225.00,0.6666666666666666
150000,146.48 KB,214.10,0.7006071928956377
150000,146.48 KB,213.90,0.7012622720885402
150000,146.48 KB,214.30,0.6999533364418035
150000,146.48 KB,225.00,0.6666666666666666
200000,195.31 KB,215.10,0.929800092973568
200000,195.31 KB,214.90,0.930665425777819
200000,195.31 KB,214.70,0.9315323707531162
200000,195.31 KB,214.90,0.930665425777819
200000,195.31 KB,214.80,0.9310986964585953
250000,244.14 KB,214.80,1.1638733705732442
250000,244.14 KB,215.80,1.1584800741487242
250000,244.14 KB,241.90,1.033484911126664
250000,244.14 KB,229.40,1.0897994768944814
250000,244.14 KB,225.30,1.1096316023043642
300000,292.97 KB,309.00,0.970873786407767
300000,292.97 KB,308.90,0.9711880867582978
300000,292.97 KB,307.80,0.9746588693933522
300000,292.97 KB,307.90,0.9743423189335402
300000,292.97 KB,307.00,0.9771986970684039
350000,341.8 KB,316.00,1.1075949367088607
350000,341.8 KB,307.70,1.1374715632067884
350000,341.8 KB,308.10,1.1359948068822563
350000,341.8 KB,308.40,1.1348897535654254
350000,341.8 KB,307.80,1.1371020142922443
400000,390.63 KB,309.20,1.293661060797394
400000,390.63 KB,310.30,1.289075088620817
400000,390.63 KB,311.70,1.283285210133352
400000,390.63 KB,310.40,1.2886597938128863
400000,390.63 KB,308.40,1.2970168612176292
450000,439.45 KB,323.40,1.3914656771863743
450000,439.45 KB,310.40,1.4497422680394971
450000,439.45 KB,309.60,1.4534883720947722
450000,439.45 KB,310.00,1.4516129032258065
450000,439.45 KB,311.30,1.4455509155207695
500000,488.28 KB,311.80,1.6035920461796191
500000,488.28 KB,322.00,1.5527950310559007
500000,488.28 KB,336.90,1.4841199168876436
500000,488.28 KB,318.70,1.5688735487864658
500000,488.28 KB,310.40,1.610824742266108
550000,537.11 KB,402.90,1.3651030032253448
550000,537.11 KB,401.70,1.369180980827657
550000,537.11 KB,404.80,1.3586956521714122
550000,537.11 KB,401.30,1.3705457263930518
550000,537.11 KB,406.30,1.3536795471301784
600000,585.94 KB,406.40,1.4763779527545522
600000,585.94 KB,404.10,1.4847809947977915
600000,585.94 KB,403.20,1.488095238097988
600000,585.94 KB,401.90,1.4929086837507934
600000,585.94 KB,405.40,1.480019733595088
650000,634.77 KB,404.60,1.6065249629204303
650000,634.77 KB,404.60,1.6065249629204303
650000,634.77 KB,402.00,1.6169154228855722
650000,634.77 KB,403.40,1.6113039167064942
650000,634.77 KB,405.10,1.6045420883747168
700000,683.59 KB,405.90,1.7245627001708734
700000,683.59 KB,406.30,1.7228648781735798
700000,683.59 KB,442.00,1.583710407239819
700000,683.59 KB,405.00,1.728395061728395
700000,683.59 KB,418.10,1.6742406122952014
750000,732.42 KB,424.50,1.7667844522968197
750000,732.42 KB,404.70,1.8532246108262436
750000,732.42 KB,428.40,1.7507002801105225
750000,732.42 KB,405.00,1.8518518518518519
750000,732.42 KB,405.30,1.8504811250891224
800000,781.25 KB,500.30,1.599040575652226
800000,781.25 KB,498.50,1.60481444332999
800000,781.25 KB,496.30,1.611928269189601
800000,781.25 KB,493.80,1.6200891049044361
800000,781.25 KB,497.60,1.6077170418018467
850000,830.08 KB,497.30,1.709229841146009
850000,830.08 KB,501.30,1.6955914621957644
850000,830.08 KB,517.10,1.6437826339211223
850000,830.08 KB,575.40,1.4772332290570902
850000,830.08 KB,506.40,1.6785150079038333
900000,878.91 KB,515.50,1.7458777885548011
900000,878.91 KB,498.40,1.8057784911703998
900000,878.91 KB,510.50,1.762977473065622
900000,878.91 KB,501.80,1.7935432443244408
900000,878.91 KB,511.70,1.7588430721087245
950000,927.73 KB,510.60,1.8605562083836529
950000,927.73 KB,520.70,1.8244670635708842
950000,927.73 KB,513.30,1.8507695304930223
950000,927.73 KB,500.90,1.896586144937699
950000,927.73 KB,516.40,1.839659178929734
1000000,976.56 KB,519.60,1.9245573518035646
1000000,976.56 KB,520.50,1.9212295869356388
1000000,976.56 KB,523.50,1.9102196752626552
1000000,976.56 KB,571.40,1.7500875043740778
1000000,976.56 KB,519.10,1.9264110961292962
1050000,1 MB,595.00,1.7647058823529411
1050000,1 MB,598.40,1.7546791443839345
1050000,1 MB,596.00,1.761744966442953
1050000,1 MB,598.80,1.753507014031329
1050000,1 MB,595.30,1.7638165630807512
1100000,1.05 MB,611.20,1.7997382198974818
1100000,1.05 MB,597.80,1.840080294416287
1100000,1.05 MB,595.10,1.8484288354909908
1100000,1.05 MB,597.40,1.8413123535308236
1100000,1.05 MB,597.60,1.840696117805699
1150000,1.1 MB,607.50,1.8930041152263375
1150000,1.1 MB,665.40,1.7282837391033306
1150000,1.1 MB,596.00,1.929530201342282
1150000,1.1 MB,639.30,1.7988424839647423
1150000,1.1 MB,602.90,1.9074473378657977
1200000,1.14 MB,597.20,2.0093770931036454
1200000,1.14 MB,615.00,1.951219512195122
1200000,1.14 MB,598.70,2.0043427426114806
1200000,1.14 MB,598.50,2.0050125313283207
1200000,1.14 MB,597.80,2.0073603211751494
1250000,1.19 MB,609.40,2.051197899572097
1250000,1.19 MB,610.00,2.0491803278688523
1250000,1.19 MB,610.00,2.0491803278688523
1250000,1.19 MB,621.10,2.0125583641937688
1250000,1.19 MB,652.50,1.9157088122605364
1300000,1.24 MB,637.10,2.0404959974898134
1300000,1.24 MB,620.80,2.0940721649522236
1300000,1.24 MB,636.20,2.0433825840954456
1300000,1.24 MB,626.70,2.074357746930821
1300000,1.24 MB,670.20,1.9397194867225382
1350000,1.29 MB,690.10,1.9562382263450642
1350000,1.29 MB,691.40,1.9525600231456604
1350000,1.29 MB,692.00,1.9508670520231215
1350000,1.29 MB,720.30,1.874219075388164
1350000,1.29 MB,702.50,1.9217081850533808
1400000,1.34 MB,772.70,1.8118286527733598
1400000,1.34 MB,690.80,2.026635784595382
1400000,1.34 MB,725.30,1.9302357645092538
1400000,1.34 MB,689.40,2.0307513780087665
1400000,1.34 MB,704.50,1.98722498225692
1450000,1.38 MB,709.40,2.043980828868394
1450000,1.38 MB,693.00,2.092352092352092
1450000,1.38 MB,712.50,2.0350877192982457
1450000,1.38 MB,708.00,2.0480225988700567
1450000,1.38 MB,704.30,2.058781769135739
