Size (bytes),Size (readable),Time (ms),mb/s
0,NaN undefined,29.40,0
0,NaN undefined,27.60,0
0,NaN undefined,27.80,0
0,NaN undefined,26.80,0
0,NaN undefined,28.00,0
50000,48.83 KB,66.80,0.7485029940088453
50000,48.83 KB,39.50,1.2658227848101267
50000,48.83 KB,40.00,1.25
50000,48.83 KB,44.40,1.1261261261166775
50000,48.83 KB,35.80,1.396648044700004
100000,97.66 KB,48.90,2.0449897750550194
100000,97.66 KB,49.10,2.036659877796544
100000,97.66 KB,36.10,2.7700831024859283
100000,97.66 KB,37.50,2.6666666666666665
100000,97.66 KB,29.50,3.389830508474576
150000,146.48 KB,34.00,4.411764705882353
150000,146.48 KB,49.10,3.054989816694816
150000,146.48 KB,35.50,4.225352112676056
150000,146.48 KB,31.50,4.761904761904762
150000,146.48 KB,29.60,5.067567567551623
200000,195.31 KB,30.70,6.5146579804165
200000,195.31 KB,30.80,6.493506493545763
200000,195.31 KB,29.60,6.756756756735498
200000,195.31 KB,30.20,6.622516556352659
200000,195.31 KB,30.70,6.5146579804165
250000,244.14 KB,30.50,8.19672131147541
250000,244.14 KB,30.00,8.333333333333334
250000,244.14 KB,31.30,7.987220447213048
250000,244.14 KB,30.80,8.116883116809486
250000,244.14 KB,30.40,8.22368421042554
300000,292.97 KB,41.00,7.317073170731708
300000,292.97 KB,43.90,6.833712984069167
300000,292.97 KB,41.30,7.263922518192567
300000,292.97 KB,41.60,7.211538461522316
300000,292.97 KB,40.80,7.352941176504157
350000,341.8 KB,44.90,7.795100222733318
350000,341.8 KB,43.90,7.972665148080695
350000,341.8 KB,54.00,6.481481481481482
350000,341.8 KB,46.10,7.592190889355595
350000,341.8 KB,42.20,8.293838862522634
400000,390.63 KB,44.00,9.090909090909092
400000,390.63 KB,42.40,9.433962264171665
400000,390.63 KB,43.30,9.237875288623995
400000,390.63 KB,48.00,8.333333333333334
400000,390.63 KB,46.00,8.695652173913043
450000,439.45 KB,51.00,8.823529411764707
450000,439.45 KB,43.80,10.273972602783417
450000,439.45 KB,51.50,8.737864077669903
450000,439.45 KB,65.40,6.880733944963927
450000,439.45 KB,43.00,10.465116279069768
500000,488.28 KB,45.50,10.989010989010989
500000,488.28 KB,45.40,11.01321585905343
500000,488.28 KB,52.40,9.541984732841387
500000,488.28 KB,56.70,8.818342151646515
500000,488.28 KB,48.80,10.2459016392856
550000,537.11 KB,57.80,9.51557093428672
550000,537.11 KB,57.80,9.51557093428672
550000,537.11 KB,65.60,8.384146341451512
550000,537.11 KB,57.80,9.51557093428672
550000,537.11 KB,55.50,9.90990990990991
600000,585.94 KB,66.70,8.995502248913244
600000,585.94 KB,56.60,10.600706713763476
600000,585.94 KB,56.20,10.676156583594508
600000,585.94 KB,58.60,10.23890784981308
600000,585.94 KB,56.70,10.582010582062725
650000,634.77 KB,60.40,10.761589403990104
650000,634.77 KB,58.10,11.187607573131809
650000,634.77 KB,135.20,4.807692307685684
650000,634.77 KB,62.30,10.43338683783443
650000,634.77 KB,73.70,8.819538670262649
700000,683.59 KB,58.70,11.925042589494579
700000,683.59 KB,65.00,10.76923076923077
700000,683.59 KB,60.30,11.608623548957915
700000,683.59 KB,66.50,10.526315789473685
700000,683.59 KB,56.80,12.323943662012246
750000,732.42 KB,59.40,12.626262626282422
750000,732.42 KB,57.00,13.157894736842104
750000,732.42 KB,61.20,12.254901960840261
750000,732.42 KB,61.70,12.15559157217822
750000,732.42 KB,58.30,12.86449399661057
800000,781.25 KB,73.40,10.899182561252585
800000,781.25 KB,68.00,11.764705882352942
800000,781.25 KB,71.30,11.220196353465496
800000,781.25 KB,81.80,9.779951100266768
800000,781.25 KB,71.30,11.220196353465496
850000,830.08 KB,71.80,11.838440111374545
850000,830.08 KB,71.40,11.904761904777432
850000,830.08 KB,69.30,12.265512265462815
850000,830.08 KB,70.10,12.125534950055217
850000,830.08 KB,74.60,11.394101876661379
900000,878.91 KB,69.90,12.875536480618075
900000,878.91 KB,71.90,12.517385257236953
900000,878.91 KB,71.90,12.517385257318022
900000,878.91 KB,74.10,12.145748987838985
900000,878.91 KB,71.80,12.534818941536697
950000,927.73 KB,74.30,12.786002691822095
950000,927.73 KB,84.30,11.269276393794204
950000,927.73 KB,72.60,13.085399449019027
950000,927.73 KB,72.60,13.085399449019027
950000,927.73 KB,70.50,13.47517730496454
1000000,976.56 KB,83.30,12.004801920728042
1000000,976.56 KB,77.30,12.936610608051872
1000000,976.56 KB,73.40,13.623978201652164
1000000,976.56 KB,74.60,13.40482573724868
1000000,976.56 KB,73.40,13.623978201652164
1050000,1 MB,85.50,12.280701754385966
1050000,1 MB,85.90,12.22351571596203
1050000,1 MB,85.80,12.237762237722388
1050000,1 MB,87.10,12.055109070021553
1050000,1 MB,86.10,12.195121951206321
1100000,1.05 MB,86.50,12.716763005780347
1100000,1.05 MB,89.20,12.331838564996671
1100000,1.05 MB,86.70,12.687427912382294
1100000,1.05 MB,86.10,12.775842044190004
1100000,1.05 MB,86.30,12.74623406716615
1150000,1.1 MB,84.20,13.657957244625369
1150000,1.1 MB,89.80,12.80623608013833
1150000,1.1 MB,86.40,13.310185185199533
1150000,1.1 MB,98.80,11.639676113327408
1150000,1.1 MB,115.70,9.939498703527645
1200000,1.14 MB,132.80,9.036144578294241
1200000,1.14 MB,91.20,13.157894736882415
1200000,1.14 MB,87.50,13.714285714285714
1200000,1.14 MB,94.40,12.711864406792202
1200000,1.14 MB,86.50,13.872832369942197
1250000,1.19 MB,88.70,14.092446448747884
1250000,1.19 MB,88.40,14.140271493227567
1250000,1.19 MB,99.20,12.600806451589243
1250000,1.19 MB,88.20,14.172335600951923
1250000,1.19 MB,117.40,10.647359454863642
1300000,1.24 MB,113.20,11.484098939910432
1300000,1.24 MB,105.90,12.275731822484827
1300000,1.24 MB,87.20,14.908256880781712
1300000,1.24 MB,87.20,14.908256880781712
1300000,1.24 MB,88.40,14.70588235295667
1350000,1.29 MB,116.80,11.558219178100623
1350000,1.29 MB,108.90,12.396694214886635
1350000,1.29 MB,100.20,13.473053892190524
1350000,1.29 MB,108.90,12.396694214886635
1350000,1.29 MB,96.20,14.033264033236861
1400000,1.34 MB,101.60,13.779527559042487
1400000,1.34 MB,102.10,13.712047012720108
1400000,1.34 MB,103.70,13.500482160052897
1400000,1.34 MB,102.00,13.72549019607843
1400000,1.34 MB,100.80,13.888888888914554
1450000,1.38 MB,101.90,14.229636898933515
1450000,1.38 MB,106.20,13.653483992443096
1450000,1.38 MB,101.10,14.342235410471456
1450000,1.38 MB,100.10,14.485514485501009
1450000,1.38 MB,101.10,14.342235410471456
1500000,1.43 MB,99.90,15.015015015029013
1500000,1.43 MB,103.30,14.520813165497996
1500000,1.43 MB,103.10,14.548981571276867
1500000,1.43 MB,112.80,13.29787234044749
1500000,1.43 MB,105.40,14.231499051245972
1550000,1.48 MB,103.40,14.990328820129555
1550000,1.48 MB,127.20,12.185534591221733
1550000,1.48 MB,156.90,9.878903760362778
1550000,1.48 MB,101.40,15.285996055240863
1550000,1.48 MB,100.50,15.422885572139304
1600000,1.53 MB,116.60,13.722126929663139
1600000,1.53 MB,121.60,13.157894736882415
1600000,1.53 MB,114.00,14.035087719298245
1600000,1.53 MB,118.70,13.479359730391653
1600000,1.53 MB,115.40,13.864818024274621
1650000,1.57 MB,117.80,14.006791171443858
1650000,1.57 MB,132.90,12.415349887141883
1650000,1.57 MB,113.80,14.499121265342259
1650000,1.57 MB,129.30,12.761020881688916
1650000,1.57 MB,130.40,12.653374233137871
1700000,1.62 MB,116.90,14.542343883672835
1700000,1.62 MB,116.00,14.655172413793103
1700000,1.62 MB,114.70,14.821272885825119
1700000,1.62 MB,113.80,14.938488576413237
1700000,1.62 MB,116.20,14.629948364864672
1750000,1.67 MB,115.80,15.112262521552484
1750000,1.67 MB,119.50,14.644351464435147
1750000,1.67 MB,114.30,15.31058617675286
1750000,1.67 MB,122.90,14.239218877146673
1750000,1.67 MB,132.90,13.167795334801314
1800000,1.72 MB,137.80,13.062409288842039
1800000,1.72 MB,119.70,15.037593984997505
1800000,1.72 MB,119.00,15.126050420168067
1800000,1.72 MB,127.20,14.150943396257498
1800000,1.72 MB,146.10,12.320328542086601
1850000,1.76 MB,122.60,15.089722675355585
1850000,1.76 MB,128.20,14.430577223067957
1850000,1.76 MB,130.60,14.165390505349777
1850000,1.76 MB,131.20,14.10060975612759
1850000,1.76 MB,130.20,14.208909370230185
1900000,1.81 MB,127.30,14.925373134350197
1900000,1.81 MB,137.40,13.828238719077786
1900000,1.81 MB,130.50,14.559386973180077
1900000,1.81 MB,130.50,14.559386973180077
1900000,1.81 MB,131.50,14.448669201520913
1950000,1.86 MB,156.50,12.460063897763579
1950000,1.86 MB,131.40,14.840182648412345
1950000,1.86 MB,151.90,12.837393021732689
1950000,1.86 MB,129.10,15.104570100686237
1950000,1.86 MB,129.90,15.011547344121617
2000000,1.91 MB,132.70,15.07159005272941
2000000,1.91 MB,155.70,12.845215157376936
2000000,1.91 MB,162.20,12.330456226866234
2000000,1.91 MB,179.50,11.142061281337048
2000000,1.91 MB,153.00,13.071895424836601
2050000,1.96 MB,175.30,11.694238448386642
2050000,1.96 MB,177.80,11.529808773885144
2050000,1.96 MB,133.10,15.401953418525451
2050000,1.96 MB,151.90,13.495720869001033
2050000,1.96 MB,130.00,15.76923076923077
2100000,2 MB,151.60,13.852242744054815
2100000,2 MB,140.90,14.90418736693675
2100000,2 MB,155.10,13.539651837516049
2100000,2 MB,181.40,11.576626240358754
2100000,2 MB,150.40,13.962765957455455
2150000,2.05 MB,158.50,13.564668769716087
2150000,2.05 MB,146.20,14.70588235296928
2150000,2.05 MB,147.60,14.566395663947448
2150000,2.05 MB,137.10,15.681983953308093
2150000,2.05 MB,144.40,14.88919667590988
2200000,2.1 MB,145.10,15.16195727083796
2200000,2.1 MB,172.40,12.76102088164296
2200000,2.1 MB,144.40,15.235457063672607
2200000,2.1 MB,149.90,14.67645096732066
2200000,2.1 MB,144.80,15.19337016571654
2250000,2.15 MB,144.80,15.53867403311919
2250000,2.15 MB,235.50,9.554140127388536
2250000,2.15 MB,153.20,14.686684073133835
2250000,2.15 MB,163.50,13.761467889908257
2250000,2.15 MB,181.90,12.369433754816669
2300000,2.19 MB,156.80,14.6683673469562
2300000,2.19 MB,146.80,15.667574931899988
2300000,2.19 MB,159.30,14.438166980556744
2300000,2.19 MB,145.60,15.796703296743713
2300000,2.19 MB,151.80,15.151515151487263
2350000,2.24 MB,146.00,16.095890410958905
2350000,2.24 MB,147.00,15.986394557823129
2350000,2.24 MB,152.60,15.399737876792699
2350000,2.24 MB,160.30,14.660012476623397
2350000,2.24 MB,185.30,12.682137074994369
2400000,2.29 MB,156.30,15.355086372333396
2400000,2.29 MB,183.70,13.064779531832153
2400000,2.29 MB,173.60,13.824884792619311
2400000,2.29 MB,161.40,14.869888475845011
2400000,2.29 MB,195.50,12.27621483375959
2450000,2.34 MB,154.80,15.826873385031965
2450000,2.34 MB,158.70,15.43793320729127
2450000,2.34 MB,212.30,11.540273198314411
2450000,2.34 MB,173.80,14.096662830855154
2450000,2.34 MB,183.20,13.37336244540125
2500000,2.38 MB,173.50,14.409221902017292
2500000,2.38 MB,189.50,13.192612137203167
2500000,2.38 MB,177.20,14.108352144454695
2500000,2.38 MB,158.70,15.75299306866456
2500000,2.38 MB,171.90,14.543339150676873
2550000,2.43 MB,170.60,14.947245017576835
2550000,2.43 MB,186.80,13.650963597409989
2550000,2.43 MB,168.40,15.142517814735216
2550000,2.43 MB,175.50,14.52991452991453
2550000,2.43 MB,165.90,15.370705244131594
2600000,2.48 MB,174.60,14.891179839625504
2600000,2.48 MB,178.80,14.54138702462365
2600000,2.48 MB,165.10,15.748031496054109
2600000,2.48 MB,201.10,12.928891098949755
2600000,2.48 MB,173.20,15.01154734413507
2650000,2.53 MB,211.20,12.54734848483742
2650000,2.53 MB,205.60,12.88910505835992
2650000,2.53 MB,195.90,13.527309851939565
2650000,2.53 MB,201.20,13.170974155057388
2650000,2.53 MB,263.40,10.060744115417377
2700000,2.57 MB,243.50,11.08829568788501
2700000,2.57 MB,216.70,12.459621596693498
2700000,2.57 MB,198.60,13.595166163135618
2700000,2.57 MB,214.70,12.575687005139793
2700000,2.57 MB,173.30,15.579919215250444
2750000,2.62 MB,176.30,15.59841179808795
2750000,2.62 MB,192.80,14.263485477192203
2750000,2.62 MB,173.90,15.813686026460452
2750000,2.62 MB,178.10,15.440763615978394
2750000,2.62 MB,247.70,11.102139685094599
2800000,2.67 MB,208.50,13.42925659472422
2800000,2.67 MB,214.80,13.035381750448593
2800000,2.67 MB,195.50,14.322250639386189
2800000,2.67 MB,177.40,15.7835400225562
2800000,2.67 MB,193.60,14.462809917348414
2850000,2.72 MB,178.50,15.966386554621849
2850000,2.72 MB,175.70,16.220830961892613
2850000,2.72 MB,225.60,12.63297872339904
2850000,2.72 MB,270.60,10.53215077604959
2850000,2.72 MB,189.90,15.007898894162178
2900000,2.77 MB,191.70,15.127803860183528
2900000,2.77 MB,203.40,14.257620452317246
2900000,2.77 MB,188.10,15.417331206797257
2900000,2.77 MB,193.10,15.018125323695466
2900000,2.77 MB,186.90,15.516318887113135
2950000,2.81 MB,197.60,14.929149797563813
2950000,2.81 MB,230.80,12.781629116102378
2950000,2.81 MB,212.60,13.875823142044721
2950000,2.81 MB,189.50,15.567282321899736
2950000,2.81 MB,194.60,15.159301130516898
3000000,2.86 MB,190.70,15.73151546930818
3000000,2.86 MB,202.00,14.851485148514852
3000000,2.86 MB,198.60,15.1057401812618
3000000,2.86 MB,219.60,13.661202185786555
3000000,2.86 MB,217.70,13.780431786850864
3050000,2.91 MB,270.60,11.271249076123246
3050000,2.91 MB,212.60,14.346190028215728
3050000,2.91 MB,189.90,16.061084781471806
3050000,2.91 MB,208.60,14.621284755506416
3050000,2.91 MB,224.70,13.573653760586526
3100000,2.96 MB,196.50,15.776081424936386
3100000,2.96 MB,195.80,15.832482124594364
3100000,2.96 MB,282.00,10.99290780141844
3100000,2.96 MB,212.40,14.595103578128827
3100000,2.96 MB,191.40,16.196447230898467
3150000,3 MB,206.70,15.239477503614713
3150000,3 MB,225.00,14
3150000,3 MB,219.60,14.344262295075884
3150000,3 MB,222.50,14.157303370786517
3150000,3 MB,309.40,10.180995475116188
3200000,3.05 MB,225.50,14.19068736141907
3200000,3.05 MB,228.80,13.986013985996907
3200000,3.05 MB,222.90,14.356213548652542
3200000,3.05 MB,203.10,15.755785327417689
3200000,3.05 MB,241.00,13.278008298755188
3250000,3.1 MB,204.70,15.876893014152627
3250000,3.1 MB,251.10,12.943050577454379
3250000,3.1 MB,242.90,13.379991766164043
3250000,3.1 MB,237.00,13.713080168776372
3250000,3.1 MB,223.10,14.56745853876577
3300000,3.15 MB,198.80,16.59959758552863
3300000,3.15 MB,237.30,13.906447534777035
3300000,3.15 MB,253.60,13.01261829652519
3300000,3.15 MB,261.20,12.633996937226378
3300000,3.15 MB,249.50,13.226452905811623
3350000,3.19 MB,202.80,16.518737672599
3350000,3.19 MB,205.10,16.333495855709824
3350000,3.19 MB,236.60,14.158918005066278
3350000,3.19 MB,211.00,15.876777251184834
3350000,3.19 MB,216.80,15.452029520308479
3400000,3.24 MB,263.90,12.883668056063662
3400000,3.24 MB,258.10,13.173188686550846
3400000,3.24 MB,229.90,14.78903871248968
3400000,3.24 MB,241.10,14.10203235171583
3400000,3.24 MB,213.50,15.925058548009368
3450000,3.29 MB,230.40,14.973958333339386
3450000,3.29 MB,229.50,15.032679738562091
3450000,3.29 MB,291.60,11.83127572016083
3450000,3.29 MB,247.10,13.961958721160258
3450000,3.29 MB,214.20,16.106442577051823
3500000,3.34 MB,248.80,14.067524115766158
3500000,3.34 MB,224.70,15.57632398752603
3500000,3.34 MB,235.50,14.8619957537155
3500000,3.34 MB,235.30,14.874628134308418
3500000,3.34 MB,279.70,12.513407222015264
3550000,3.39 MB,250.40,14.177316293934986
3550000,3.39 MB,235.70,15.061518879920214
3550000,3.39 MB,267.30,13.280957725411424
3550000,3.39 MB,221.70,16.012629679733955
3550000,3.39 MB,243.20,14.59703947367303
3600000,3.43 MB,267.90,13.43784994401363
3600000,3.43 MB,284.00,12.67605633802817
3600000,3.43 MB,247.30,14.557217953885697
3600000,3.43 MB,220.60,16.31912964641197
3600000,3.43 MB,271.20,13.274336283176723
3650000,3.48 MB,262.90,13.883605933820057
3650000,3.48 MB,281.90,12.947853848865472
3650000,3.48 MB,293.30,12.444595976803692
3650000,3.48 MB,231.40,15.773552290412571
3650000,3.48 MB,222.00,16.44144144144144
3700000,3.53 MB,276.30,13.391241404279748
3700000,3.53 MB,287.60,12.865090403333804
3700000,3.53 MB,285.80,12.946116165158893
3700000,3.53 MB,317.30,11.660888748824998
3700000,3.53 MB,222.40,16.63669064748898
3750000,3.58 MB,256.10,14.642717688397642
3750000,3.58 MB,256.80,14.60280373832835
3750000,3.58 MB,237.60,15.782828282853028
3750000,3.58 MB,286.10,13.107305138059347
3750000,3.58 MB,271.50,13.812154696132596
3800000,3.62 MB,295.20,12.87262872627914
3800000,3.62 MB,253.50,14.990138067061144
3800000,3.62 MB,238.40,15.939597315442468
3800000,3.62 MB,255.80,14.85535574668791
3800000,3.62 MB,255.20,14.890282131677743
3850000,3.67 MB,256.30,15.021459227478728
3850000,3.67 MB,257.30,14.963078118938155
3850000,3.67 MB,246.80,15.59967585087375
3850000,3.67 MB,228.90,16.819571865450268
3850000,3.67 MB,244.00,15.778688524590164
3900000,3.72 MB,263.10,14.823261117440591
3900000,3.72 MB,271.00,14.391143911439114
3900000,3.72 MB,292.30,13.34245638041831
3900000,3.72 MB,234.40,16.638225255946253
3900000,3.72 MB,263.50,14.800759013282732
3950000,3.77 MB,265.00,14.90566037735849
3950000,3.77 MB,249.60,15.825320512814608
3950000,3.77 MB,255.60,15.453834115800316
3950000,3.77 MB,342.20,11.542957334885593
3950000,3.77 MB,248.10,15.920999596960625
4000000,3.81 MB,273.60,14.619883040930697
4000000,3.81 MB,258.10,15.497869043000994
4000000,3.81 MB,275.40,14.524328249798799
4000000,3.81 MB,248.00,16.129032258064516
4000000,3.81 MB,282.10,14.179369018074015
4050000,3.86 MB,249.50,16.23246492985972
4050000,3.86 MB,258.30,15.67944250869384
4050000,3.86 MB,245.50,16.4969450101833
4050000,3.86 MB,269.30,15.03898997399108
4050000,3.86 MB,264.70,15.300340007544957
4100000,3.91 MB,285.90,14.340678558941363
4100000,3.91 MB,276.70,14.81749186843961
4100000,3.91 MB,299.90,13.671223741251328
4100000,3.91 MB,248.60,16.492357200315624
4100000,3.91 MB,254.60,16.10369206597997
4150000,3.96 MB,273.00,15.2014652014652
4150000,3.96 MB,318.20,13.042111879332634
4150000,3.96 MB,288.60,14.37976437975974
4150000,3.96 MB,318.70,13.02165045496572
4150000,3.96 MB,268.60,15.450483991059423
4200000,4.01 MB,279.80,15.010721944255883
4200000,4.01 MB,298.60,14.065639651725519
4200000,4.01 MB,260.90,16.098121885785737
4200000,4.01 MB,259.60,16.178736517713766
4200000,4.01 MB,258.40,16.253869969046107
4250000,4.05 MB,259.30,16.390281527170924
4250000,4.05 MB,277.80,15.298776097922424
4250000,4.05 MB,342.10,12.423268050291226
4250000,4.05 MB,273.10,15.56206517758532
4250000,4.05 MB,265.10,16.03168615616185
4300000,4.1 MB,274.90,15.642051655152626
4300000,4.1 MB,262.10,16.405951926739686
4300000,4.1 MB,257.50,16.699029126213592
4300000,4.1 MB,265.70,16.183665788471906
4300000,4.1 MB,255.90,16.803438843273703
4350000,4.15 MB,292.10,14.8921602190983
4350000,4.15 MB,285.50,15.236427320490368
4350000,4.15 MB,301.40,14.432647644330936
4350000,4.15 MB,277.00,15.703971119133573
4350000,4.15 MB,326.00,13.343558282208589
4400000,4.2 MB,268.60,16.381236038742006
4400000,4.2 MB,259.60,16.9491525423668
