Size (bytes),Size (readable),Time (ms),mb/s
0,NaN undefined,33.30,0
0,NaN undefined,9.80,0
0,NaN undefined,9.90,0
0,NaN undefined,7.80,0
0,NaN undefined,10.70,0
50000,48.83 KB,20.20,2.4752475247581813
50000,48.83 KB,36.00,1.3888888888888888
50000,48.83 KB,54.30,0.9208103130747168
50000,48.83 KB,22.40,2.2321428571289363
50000,48.83 KB,10.70,4.672897196282019
100000,97.66 KB,95.50,1.0471204188481675
100000,97.66 KB,38.10,2.624671916004083
100000,97.66 KB,62.40,1.6025641025664945
100000,97.66 KB,75.60,1.3227513227496932
100000,97.66 KB,32.40,3.086419753073112
150000,146.48 KB,61.50,2.4390243902439024
150000,146.48 KB,82.00,1.829268292682927
150000,146.48 KB,68.00,2.2058823529411766
150000,146.48 KB,67.90,2.2091310751059114
150000,146.48 KB,62.90,2.384737678858857
200000,195.31 KB,124.90,1.601281024818065
200000,195.31 KB,56.50,3.5398230088495577
200000,195.31 KB,110.20,1.8148820326686435
200000,195.31 KB,43.10,4.640371229688348
200000,195.31 KB,98.00,2.0408163265306123
250000,244.14 KB,106.80,2.340823970041536
250000,244.14 KB,142.80,1.7507002801143283
250000,244.14 KB,105.40,2.371916508535756
250000,244.14 KB,110.90,2.254283137964021
250000,244.14 KB,107.60,2.323420074352459
300000,292.97 KB,96.70,3.1023784901772955
300000,292.97 KB,149.40,2.0080321285153078
300000,292.97 KB,116.70,2.570694087404625
300000,292.97 KB,129.60,2.31481481481731
300000,292.97 KB,112.00,2.6785714285714284
350000,341.8 KB,119.40,2.9313232830786475
350000,341.8 KB,359.60,0.9733036707456506
350000,341.8 KB,118.00,2.9661016949152543
350000,341.8 KB,179.80,1.9466073414900409
350000,341.8 KB,98.60,3.549695740370141
400000,390.63 KB,202.90,1.9714144898974055
400000,390.63 KB,142.00,2.816901408450704
400000,390.63 KB,225.80,1.7714791851192095
400000,390.63 KB,175.10,2.2844089091935307
400000,390.63 KB,189.70,2.1085925144945032
450000,439.45 KB,236.90,1.8995356690594214
450000,439.45 KB,612.60,0.7345739471105641
450000,439.45 KB,315.80,1.4249525015830704
450000,439.45 KB,257.50,1.7475728155339805
450000,439.45 KB,168.80,2.6658767772541268
500000,488.28 KB,291.40,1.7158544955393267
500000,488.28 KB,219.50,2.277904328018223
500000,488.28 KB,217.30,2.300966405889981
500000,488.28 KB,620.40,0.8059316569956078
500000,488.28 KB,262.40,1.9054878048787252
550000,537.11 KB,219.80,2.502274795267896
550000,537.11 KB,218.60,2.516010978958607
550000,537.11 KB,184.10,2.9875067897904257
550000,537.11 KB,202.00,2.722772277227723
550000,537.11 KB,269.80,2.038547071904763
600000,585.94 KB,322.90,1.8581604211835647
600000,585.94 KB,292.10,2.054091064704851
600000,585.94 KB,258.10,2.3246803564501493
600000,585.94 KB,274.30,2.1873860736416266
600000,585.94 KB,236.80,2.5337837837832855
650000,634.77 KB,246.30,2.639058059276805
650000,634.77 KB,191.30,3.39780449555589
650000,634.77 KB,329.00,1.9756838905775076
650000,634.77 KB,235.40,2.761257434155723
650000,634.77 KB,147.50,4.406779661016949
700000,683.59 KB,349.90,2.0005715918839275
700000,683.59 KB,156.10,4.484304932739439
700000,683.59 KB,277.20,2.525252525250828
700000,683.59 KB,258.00,2.7131782945736433
700000,683.59 KB,279.80,2.501786990707232
750000,732.42 KB,443.50,1.6910935738444195
750000,732.42 KB,325.30,2.305564094681502
750000,732.42 KB,374.20,2.004275788348726
750000,732.42 KB,317.30,2.36369366530063
750000,732.42 KB,229.50,3.2679738562091503
800000,781.25 KB,227.40,3.5180299032556186
800000,781.25 KB,234.30,3.414425949636539
800000,781.25 KB,255.00,3.1372549019607843
800000,781.25 KB,340.00,2.3529411764705883
800000,781.25 KB,237.30,3.3712600084307964
850000,830.08 KB,413.20,2.057115198451345
850000,830.08 KB,314.80,2.70012706480265
850000,830.08 KB,365.30,2.3268546400216032
850000,830.08 KB,381.60,2.227463312369788
850000,830.08 KB,270.30,3.144654088049773
900000,878.91 KB,326.70,2.7548209366395113
900000,878.91 KB,523.90,1.7178850925744609
900000,878.91 KB,299.70,3.0030030030034696
900000,878.91 KB,478.20,1.8820577164368206
900000,878.91 KB,395.70,2.2744503411664807
950000,927.73 KB,379.80,2.50131648235883
950000,927.73 KB,360.60,2.6344980587919244
950000,927.73 KB,419.70,2.263521563021457
950000,927.73 KB,484.80,1.9595709570955213
950000,927.73 KB,430.30,2.2077620264941
1000000,976.56 KB,507.00,1.9723865877712032
1000000,976.56 KB,557.20,1.7946877243353656
1000000,976.56 KB,390.50,2.560819462227913
1000000,976.56 KB,317.80,3.146633102579778
1000000,976.56 KB,295.90,3.3795201081457074
1050000,1 MB,427.70,2.4549918166942115
1050000,1 MB,412.30,2.5466893039060743
1050000,1 MB,447.60,2.3458445040209597
1050000,1 MB,99.80,10.521042084163428
1050000,1 MB,400.60,2.6210683974032847
1100000,1.05 MB,494.70,2.22356984030642
1100000,1.05 MB,569.40,1.931858096241184
1100000,1.05 MB,387.10,2.841642986309473
1100000,1.05 MB,453.50,2.4255788313120177
1100000,1.05 MB,501.90,2.191671647737983
1150000,1.1 MB,571.30,2.0129529144063976
1150000,1.1 MB,297.70,3.8629492777970436
1150000,1.1 MB,501.70,2.2922064979073284
1150000,1.1 MB,446.80,2.5738585496863924
1150000,1.1 MB,384.90,2.987789036113999
1200000,1.14 MB,384.10,3.1241864097902536
1200000,1.14 MB,551.40,2.1762785636565156
1200000,1.14 MB,508.00,2.3622047244094486
1200000,1.14 MB,515.60,2.3273855702090445
1200000,1.14 MB,527.80,2.2735884804848316
1250000,1.19 MB,295.80,4.225828262338753
1250000,1.19 MB,451.30,2.769776202082586
1250000,1.19 MB,634.40,1.9703656998734627
1250000,1.19 MB,448.50,2.787068004459309
1250000,1.19 MB,357.40,3.4974818130954834
1300000,1.24 MB,514.60,2.52623396813013
1300000,1.24 MB,433.10,3.0016162549074563
1300000,1.24 MB,619.50,2.0984665052461664
1300000,1.24 MB,438.30,2.9660050193927945
1300000,1.24 MB,464.50,2.798708288482239
1350000,1.29 MB,630.10,2.142517060783686
1350000,1.29 MB,477.00,2.830188679245283
1350000,1.29 MB,473.70,2.849905003166841
1350000,1.29 MB,647.80,2.0839765359684908
1350000,1.29 MB,685.40,1.969652757514128
1400000,1.34 MB,226.30,6.186478126379638
1400000,1.34 MB,344.00,4.069767441860465
1400000,1.34 MB,600.90,2.329838575470489
1400000,1.34 MB,653.30,2.1429664778821356
1400000,1.34 MB,640.80,2.184769038701464
1450000,1.38 MB,426.20,3.4021586109792734
1450000,1.38 MB,724.90,2.0002759001237695
1450000,1.38 MB,701.90,2.065821342071794
1450000,1.38 MB,553.50,2.6196928635953025
1450000,1.38 MB,648.10,2.2373090572447345
1500000,1.43 MB,528.80,2.8366111951586004
1500000,1.43 MB,478.60,3.1341412452981783
1500000,1.43 MB,538.50,2.785515320334262
1500000,1.43 MB,601.10,2.495425054067156
1500000,1.43 MB,561.80,2.6699893200424984
1550000,1.48 MB,773.00,2.0051746442432083
1550000,1.48 MB,552.70,2.80441469151462
1550000,1.48 MB,644.40,2.4053382991933954
1550000,1.48 MB,630.90,2.4568077349821347
1550000,1.48 MB,223.60,6.932021466909519
1600000,1.53 MB,192.90,8.294453084493734
1600000,1.53 MB,198.70,8.052340211366381
1600000,1.53 MB,633.30,2.526448760460891
1600000,1.53 MB,711.00,2.250351617440225
1600000,1.53 MB,742.40,2.1551724137926977
1650000,1.57 MB,509.50,3.2384690873405297
1650000,1.57 MB,584.90,2.8209950418879512
1650000,1.57 MB,545.70,3.023639362287229
1650000,1.57 MB,557.80,2.958049480101382
1650000,1.57 MB,769.60,2.143970893971283
1700000,1.62 MB,729.80,2.3294053165249267
1700000,1.62 MB,584.20,2.909962341662886
1700000,1.62 MB,312.80,5.434782608694843
1700000,1.62 MB,1300.50,1.3071895424836601
1700000,1.62 MB,796.60,2.134069796635452
1750000,1.67 MB,816.30,2.143819674139287
1750000,1.67 MB,589.20,2.970128988459162
1750000,1.67 MB,561.50,3.116651825467498
1750000,1.67 MB,744.90,2.3493086320307044
1750000,1.67 MB,484.30,3.6134627297126403
1800000,1.72 MB,902.70,1.994017946161104
1800000,1.72 MB,638.30,2.8199906000311277
1800000,1.72 MB,699.50,2.573266619013581
1800000,1.72 MB,711.90,2.5284450063214434
1800000,1.72 MB,770.60,2.3358422008828525
1850000,1.76 MB,736.90,2.51051703080504
1850000,1.76 MB,530.00,3.490566037735849
1850000,1.76 MB,577.40,3.204018011777448
1850000,1.76 MB,575.80,3.212921153177927
1850000,1.76 MB,445.20,4.155435759209778
1900000,1.81 MB,881.70,2.154927980038676
1900000,1.81 MB,676.80,2.807328605201718
1900000,1.81 MB,884.10,2.14907815857912
1900000,1.81 MB,721.00,2.635228848821082
1900000,1.81 MB,397.50,4.779874213836478
1950000,1.86 MB,649.80,3.000923361033949
1950000,1.86 MB,548.10,3.5577449370546774
1950000,1.86 MB,1000.90,1.9482465780799094
1950000,1.86 MB,868.30,2.2457675918460156
1950000,1.86 MB,844.80,2.3082386363635092
2000000,1.91 MB,884.50,2.2611644997173546
2000000,1.91 MB,323.20,6.18811881188208
2000000,1.91 MB,686.50,2.9133284777858703
2000000,1.91 MB,895.50,2.233389168062535
2000000,1.91 MB,855.00,2.3391812865497075
2050000,1.96 MB,993.20,2.0640354409988886
2050000,1.96 MB,849.50,2.413184226015303
2050000,1.96 MB,625.70,3.276330509828016
2050000,1.96 MB,805.50,2.5450031036623217
2050000,1.96 MB,968.80,2.1160198183318553
2100000,2 MB,627.30,3.347680535628637
2100000,2 MB,600.50,3.4970857618651126
2100000,2 MB,603.10,3.4820096169784045
2100000,2 MB,941.80,2.229772775536097
2100000,2 MB,615.00,3.4146341463414633
