rtt,throughput
42,456.9820748129676
21.5,1103.1750788485606
17.5,1205.4030738423028
18,1328.6476915422886
22,1232.1806934673366
20,1309.0917763975156
17,1324.4451220125786
16.5,1352.78626
16,1412.0103470661672
18,1429.037156445557
19,1336.7055960099751
26.5,1364.7126516290728
15.5,1343.16093
15,1402.51548
17,1208.31552
24,1356.06247
24,1403.66297
27,1468.7512808988763
22,1439.203464330413
21,1367.03147
18,1372.505336658354
26,1346.9790337922402
118,713.9859351620947
104.5,287.06308798017346
84.5,251.11933834586466
123,306.4763022670025
97.5,299.0379850374065
104.5,308.4226983729662
84,292.19739
95.5,334.4961706398996
110,302.6347627329192
109,284.46902
85.5,310.87991979949874
97,318.04530325814534
89.5,580.8766947890819
97,395.82943881334984
75,452.8328040712468
92,460.6109379652605
86,332.0478789407314
80.5,370.3118403990025
80,420.74921
92.5,440.06081203007517
86,449.7052384519351
102,427.24104
85,504.62953
79,534.4963904881101
108,516.0790224438903
79,913.6906600249066
91,598.4000301886792
82.5,735.0269489414695
67,620.6095959849436
79,696.0111061173533
57,747.8824769038702
108.5,650.99437
81,772.46643
69,815.1852230576441
80.5,842.7856059850374
86,1000.593022556391
120,685.3238555417186
560.5,620.972957605985
298.5,577.2967509386733
90,512.7717858032379
81,631.8835075376884
63,658.7588771929825
76,498.76433
62,481.19987016229715
66,603.9044488778055
87,692.9101967621419
90,617.4466885245902
62.5,648.960029593095
76,608.4622075949367
95.5,597.2032440550688
84.5,732.8226017478153
46,751.1301346633417
98,716.019472636816
56,755.2587137452712
96,645.526961298377
50,834.5285306633292
82,565.8374857142857
85.5,672.5542392108508
75,699.0567827191868
74,588.2505764411028
59,543.0643995006242
98,492.2044234122042
97,573.2315979899497
52,558.8872309612984
81.5,526.4880199750312
64,619.9724411027569
57,579.6667834793492
236,278.2728976572133
240.5,176.38024303797468
252,160.676535669587
265,212.77467166042447
247,210.31375561097258
229,190.3137157107232
271.5,229.86740574282146
245.5,217.47588
263,194.9125527638191
273.5,238.4739104477612
274,197.42634465408804
262.5,167.26143
260,218.36849
156,273.77068
249,596.0916254681648
256,179.49051685393258
222.5,208.99365586034912
216.5,196.05178
245,218.34280402010052
242,196.3450976514215
200,218.98304119850187
247,188.22899873257288
232.5,198.43290640394088
229,158.15589847715736
240,184.71881148564296
250,176.19493632958802
242,195.7279402241594
249,162.3767336683417
190,180.3117509339975
230,208.07465326633167
243,224.2138327091136
205.5,545.94235
214,211.01257142857142
210,162.84596543209878
219.5,168.75890816326532
212.5,180.6282294264339
210,188.6512
258,190.53996009975063
331,191.57435411471323
179.5,192.95005757196495
178.5,201.6574335839599
186,175.85842302878598
186.5,207.0011714643304
202,194.37316129032257
218.5,181.08771752837328
215.5,193.78615
192,175.43576587795766
220,186.83574
193,204.50645614035088
210.5,185.92301736972703
234,209.82991739674594
237,307.34685138539044
109.5,480.73703575832303
169,143.4168510638298
195.5,198.04569269521411
177.5,166.00098368883312
178,157.77872340425532
202.5,159.98032378580325
190,131.8114756554307
192.5,174.51725685785536
174.5,143.57996
45,565.6731083123426
172.5,223.2124839506173
154,249.52576202531645
166.5,258.061443196005
163,247.36616770963704
188,291.14753558052433
173.5,329.95450312891114
144,363.80448
171,331.2248268991283
169,376.1275815691158
169,399.78752559300875
146,375.8008765743073
190,293.78136972704715
178.5,288.54202
183.5,337.11277
184,350.5715712484237
165.5,313.72791
186,350.34421945137154
157,352.2023470661673
185,357.7296658354115
174,374.4203254067584
164.5,363.4223237139272
166,716.1641142857143
160,285.7778740554156
152.5,258.15118226600987
181,266.0999390862944
143.5,206.12283
179,245.65225468164795
142.5,240.80511360799002
150,267.61623970037454
186,202.71633082706768
184.5,244.46102117061022
118,314.7272844720497
158.5,212.8626784363178
172.5,209.28588205771644
145,248.84097657213317
160,244.65987848101267
119,233.13484144818977
154.5,243.38648621553884
152,297.416
186,243.97298245614036
149.5,237.65311166253102
168,203.25321957340026
140,267.8972803970223
129.5,203.34268164794008
141,226.1553610062893
160,260.1342512562814
89.5,581.3834085213033
156,225.20829
123.5,259.5886824408468
104,246.60237593984962
104.5,294.7686982543641
127,288.773592039801
126.5,183.9908986232791
131.5,240.6857128463476
168,234.79313
114,258.1970274314214
104,303.9232340425532
128,323.92029036295366
122,366.8201148564295
163,320.43519800747197
106.5,312.04555081555833
126,325.0664745341615
126,363.43227965043695
132.5,358.9292145545797
163,308.1428542713568
141,275.7149225092251
140,331.92780783817955
132.5,319.30577666248433
126,344.38127
35,724.5743541147132
77.5,433.0762247191011
97,477.8911460674157
83,538.2715012468828
82,562.37782
66,546.3790365699874
87.5,577.0926066584464
91,651.6213097345133
100,564.29616
88,658.5644155193993
98,646.34736
105.5,533.9881145703612
82,659.9412765957446
93,605.9624868913858
107,552.1258281444583
99,503.50810566037734
98.5,499.33125339925834
95,572.3021592920354
106,567.8361203007519
