rtt,throughput
41,22.60992
41.75,25.21088
44,19.99872
6,11.71456
6,15.19616
6,31.85664
5.25,39.87456
5,26.65472
5,7.1168
5,27.06432
5,24.59648
5,22.9888
5,21.58592
5,41.04192
5,47.08352
5,0.24576
32.75,0.38912
42,74.16832
42,43.23328
23.5,26.04032
5,21.25824
5,12.93312
5,13.66016
41,12.92288
41,21.38112
41,28.22144
17,34.60096
9,67.36896
9,0.1024
10.5,50.37056
12,21.34016
12,27.904
12,24.49408
42,21.57568
42,0.21504
42,17.32608
36.75,15.57504
35,34.5088
35,22.15936
20,27.21792
5,26.01984
5,13.78304
5,21.77024
6,51.05664
6,3.072
6,40.22272
24.75,30.78144
31,0.89088
31,0.22528
18.5,0.21504
6,47.80032
6,11.12064
6.75,18.28864
9,26.95168
9,29.04064
9,20.52096
33,15.75936
41,18.70848
41,97.792
22,127.35488
3,90.23488
3,93.17376
3,121.01632
3,148.03968
3,135.10656
3,0.58368
3,0
3,90.6752
3,76.4416
4.5,111.63648
6,190.03392
6,5.81632
5,47.67744
2,94.83264
2,0
2,52.0704
11,24.85248
14,23.71584
14,34.06848
8,31.1808
2,0.11264
2,51.28192
2.75,38.46144
5,37.40672
5,26.88
5,87.78752
6,41.2672
6,71.09632
6,13.52704
5.5,0
5,51.05664
5,14.63296
4.75,25.06752
4,55.33696
4,53.58592
4,0.01024
6,58.10176
6,16.5376
6,8.18176
4.5,15.73888
3,17.5616
3,12.6976
3.25,26.25536
4,35.71712
4,0.0512
4,52.48
6,18.44224
6,24.36096
6,13.08672
24,0.22528
42,26.76736
42,20.62336
37.5,27.65824
24,19.48672
24,11.86816
24,18.98496
5,22.94784
5,0.99328
5,25.43616
24.5,9.63584
44,46.3872
44,26.5216
44,29.56288
44,27.67872
44,19.51744
44,19.61984
6,14.65344
6,20.0704
6,14.68416
24.5,10.36288
43,16.1792
43,23.1424
43.75,20.30592
46,18.78016
46,25.20064
46,20.1728
9,17.96096
9,23.9104
9,30.2592
9,32.1024
9,31.1296
9,0.13312
8.75,25.8048
8,15.38048
8,24.49408
8,7.96672
40,20.08064
40,13.01504
40,15.5648
20.5,14.29504
14,22.41536
14,23.51104
20.75,22.20032
41,0.22528
41,26.6752
41,16.64
16,16.80384
16,25.11872
16,20.30592
31,0.24576
36,30.80192
36,20.72576
21,23.99232
6,18.46272
6,18.29888
6,20.76672
6,0.34816
6,0
6,36.08576
10.5,112.40448
12,0
12,155.74016
8.5,212.09088
5,229.7344
5,226.51904
5,221.46048
8,167.85408
8,164.12672
8,150.71232
5,25.41568
4,47.89248
4,174.7456
4.25,83.49696
5,76.3392
5,198.33856
5,172.51328
3,7.50592
3,50.91328
3,171.19232
3.75,189.77792
4,240.13824
4,242.00192
5.25,250.71616
9,241.62304
9,235.61216
9,231.12704
12,0
12,104.35584
12,235.48928
6,203.07968
4,169.68704
4,167.36256
4,204.4928
4,0.32768
4,0.63488
4,151.27552
4,220.8768
4,237.90592
4,234.63936
6.25,35.6352
7,55.49056
7,213.56544
5,154.19392
3,215.90016
3,226.38592
3,254.17728
8,228.80256
8,153.30304
8,46.46912
3.5,47.04256
2,47.872
2,90.22464
2.5,60.08832
3,129.40288
3,87.22432
3,163.01056
7,166.03136
7,1.72032
7,83.53792
4,37.18144
3,107.54048
3,128.95232
3.5,7.30112
4,51.3024
4,49.77664
4,189.29664
4,51.10784
4,47.18592
4,42.14784
4,21.8112
4,10.752
4,73.29792
22,34.70336
40,58.29632
40,14.592
30.75,21.22752
3,21.8112
3,17.31584
3,12.41088
30.75,17.94048
40,0.21504
40,16.64
22,11.29472
4,23.04
4,46.04928
13.25,42.77248
41,69.33504
41,17.4592
41,20.08064
41.75,30.06464
42,15.0016
42,24.22784
24,53.49376
6,72.62208
6,38.52288
12.5,20.15232
32,19.54816
32,27.5456
32,26.84928
25.25,7.97696
23,12.88192
23,18.0224
14,29.3888
5,18.0736
5,17.42848
4.75,15.31904
4,17.2544
4,29.14304
4,47.45216
6,58.2656
6,24.75008
6,43.20256
6,27.71968
6,22.34368
6,20.76672
5.75,17.70496
5,22.41536
5,14.88896
5,20.04992
6,10.6496
6,0.23552
6,17.664
25,15.13472
44,7.96672
44,14.76608
34.75,15.31904
7,19.0464
7,27.66848
7,45.08672
15,27.6992
15,10.53696
15,0
13,35.00032
11,16.86528
11,4.2496
18.75,0.63488
42,18.04288
42,12.544
42,13.53728
30,16.66048
30,21.22752
30,24.22784
18.5,14.46912
7,20.67456
7,25.81504
15,18.14528
39,61.5424
39,24.64768
39,25.11872
30,28.99968
30,21.61664
30,29.04064
32.25,0.86016
33,19.49696
33,18.00192
29,20.82816
17,0.23552
17,25.74336
17,20.3264
23,31.75424
23,31.32416
23,1.15712
26.75,36.38272
28,16.09728
28,10.91584
27,0
24,19.6608
24,12.82048
24,18.11456
42,20.23424
42,15.54432
42,42.25024
45.5,14.85824
49,22.0672
49,26.44992
41.75,17.64352
20,0.19456
20,45.568
20,20.57216
41,10.42432
41,14.44864
41,19.72224
27.5,12.63616
23,22.54848
23,23.68512
27,14.25408
39,22.60992
39,17.99168
39,13.89568
12,16.44544
12,15.80032
12,37.94944
17.25,21.48352
19,21.31968
19,9.80992
24.5,12.82048
41,18.23744
41,18.432
41,16.71168
44,13.30176
44,12.5952
44,16.57856
33,21.78048
22,26.23488
22,22.23104
24,22.53824
30,10.26048
30,10.48576
30,10.42432
18,16.41472
18,4.54656
18,47.72864
25.5,6.7072
33,12.46208
33,15.44192
30.25,0.22528
22,18.56512
22,8.86784
22,14.03904
18,16.26112
18,24.92416
18,10.20928
17,25.32352
16,14.6944
16,16.18944
24.75,17.42848
51,16.384
51,16.11776
51,21.34016
51,32.4608
51,19.5584
51,7.7824
47.5,0.2048
44,23.06048
44,15.95392
46,13.37344
52,17.80736
52,19.43552
52,13.66016
51,13.17888
51,12.56448
51,16.47616
44.25,23.36768
42,21.20704
42,0.2048
38.75,25.93792
29,12.46208
29,13.76256
29,16.06656
15,22.04672
15,18.5856
15,19.56864
39.75,18.96448
48,3.00032
48,14.45888
41.75,13.6704
23,20.736
23,12.8
23,14.47936
67,0.21504
67,15.55456
67,9.12384
47.5,11.48928
41,15.60576
41,0.23552
42,20.87936
45,16.34304
45,21.06368
45,8.27392
42,0.19456
42,27.79136
42,11.61216
49.5,14.1312
