timestamp,totalMemory,totalCpuPercentage,processCount
2024-09-13T22:12:35.075Z,17436672,0.00,1
2024-09-13T22:12:36.083Z,17436672,0.00,1
2024-09-13T22:12:37.091Z,17436672,0.00,1
2024-09-13T22:12:38.099Z,22978560,6.93,1
2024-09-13T22:12:39.106Z,26689536,27.72,1
2024-09-13T22:12:40.115Z,27201536,17.82,1
2024-09-13T22:12:41.122Z,35758080,12.87,1
2024-09-13T22:12:42.133Z,38367232,8.91,1
2024-09-13T22:12:43.140Z,42262528,11.00,1
2024-09-13T22:12:44.147Z,74047488,24.75,1
2024-09-13T22:12:45.156Z,76087296,9.90,1
2024-09-13T22:12:46.162Z,76320768,7.92,1
2024-09-13T22:12:47.170Z,76320768,13.00,1
2024-09-13T22:12:48.178Z,78327808,9.90,1
2024-09-13T22:12:49.186Z,80936960,9.90,1
2024-09-13T22:12:50.193Z,80936960,7.00,1
2024-09-13T22:12:51.202Z,86409216,11.88,1
2024-09-13T22:12:52.211Z,86409216,8.91,1
2024-09-13T22:12:53.219Z,97161216,8.91,1
2024-09-13T22:12:54.228Z,97423360,7.92,1
2024-09-13T22:12:55.235Z,97423360,5.94,1
2024-09-13T22:12:56.242Z,102899712,10.00,1
2024-09-13T22:12:57.249Z,38916096,15.84,1
2024-09-13T22:12:58.256Z,38916096,6.93,1
2024-09-13T22:12:59.263Z,39985152,6.93,1
2024-09-13T22:13:00.271Z,52662272,9.00,1
2024-09-13T22:13:01.302Z,34242560,23.30,1
2024-09-13T22:13:02.309Z,27455488,13.86,1
2024-09-13T22:13:03.317Z,28348416,13.86,1
2024-09-13T22:13:04.325Z,33427456,16.83,1
2024-09-13T22:13:05.332Z,35573760,14.00,1
2024-09-13T22:13:06.338Z,61108224,17.82,1
2024-09-13T22:13:07.346Z,61378560,8.91,1
2024-09-13T22:13:08.353Z,61378560,7.92,1
2024-09-13T22:13:09.361Z,62185472,12.00,1
2024-09-13T22:13:10.368Z,64069632,11.88,1
2024-09-13T22:13:11.376Z,65421312,8.91,1
2024-09-13T22:13:12.385Z,68124672,8.91,1
2024-09-13T22:13:13.392Z,116629504,27.00,1
2024-09-13T22:13:14.399Z,130199552,12.87,1
2024-09-13T22:13:15.406Z,131231744,8.91,1
2024-09-13T22:13:16.414Z,131575808,10.89,1
2024-09-13T22:13:17.422Z,132608000,11.88,1
2024-09-13T22:13:18.429Z,132853760,9.00,1
2024-09-13T22:13:19.439Z,133611520,8.91,1
2024-09-13T22:13:20.446Z,136994816,9.90,1
2024-09-13T22:13:21.453Z,136994816,9.90,1
2024-09-13T22:13:22.459Z,144052224,11.00,1
2024-09-13T22:13:23.467Z,144842752,8.91,1
2024-09-13T22:13:24.474Z,144842752,7.92,1
2024-09-13T22:13:25.481Z,148516864,9.00,1
2024-09-13T22:13:26.488Z,151134208,10.89,1
2024-09-13T22:13:27.494Z,151134208,8.91,1
2024-09-13T22:13:28.501Z,160575488,9.00,1
2024-09-13T22:13:29.511Z,177139712,9.90,1
2024-09-13T22:13:30.517Z,180248576,11.88,1
2024-09-13T22:13:31.525Z,180248576,7.92,1
2024-09-13T22:13:32.532Z,180248576,8.00,1
2024-09-13T22:13:33.539Z,180248576,10.89,1
2024-09-13T22:13:34.547Z,191688704,13.86,1
2024-09-13T22:13:35.553Z,192446464,7.92,1
2024-09-13T22:13:36.562Z,192446464,8.00,1
2024-09-13T22:13:37.582Z,194564096,13.73,1
2024-09-13T22:13:38.590Z,195100672,8.91,1
2024-09-13T22:13:39.598Z,195100672,9.90,1
2024-09-13T22:13:40.604Z,195100672,10.89,1
2024-09-13T22:13:41.613Z,198275072,7.92,1
2024-09-13T22:13:42.619Z,213729280,13.00,1
2024-09-13T22:13:43.627Z,219791360,11.88,1
2024-09-13T22:13:44.635Z,227274752,21.78,1
2024-09-13T22:13:45.642Z,207650816,26.00,1
2024-09-13T22:13:46.648Z,63414272,25.74,1
2024-09-13T22:13:47.656Z,45469696,14.85,1
2024-09-13T22:13:48.664Z,45469696,6.93,1
2024-09-13T22:13:49.674Z,48427008,10.89,1
2024-09-13T22:13:50.681Z,74637312,20.00,1
2024-09-13T22:13:51.689Z,76259328,9.90,1
2024-09-13T22:13:52.697Z,77881344,13.86,1
2024-09-13T22:13:53.705Z,78692352,8.91,1
2024-09-13T22:13:54.711Z,80031744,8.00,1
